Fiscal_Year,Query_Run,Customer,SubCustomer,AnnualSubCustomerVendorRank,ContractorDisplayName,ParentID,JointVenture,SumOfobligatedAmount,SumOfnumberOfActions,WarningFlag
2000,59:34.8,State and IAP,USAID,25,JORGE SCIENTIFIC^,JORGE SCIENTIFIC,0,3957000,4,0
2000,59:34.8,State and IAP,USAID,26,INSTITUTE OF INTERNATIONAL EDU^,INSTITUTE OF INTERNATIONAL EDU,0,3900000,11,0
2000,59:34.8,State and IAP,State,36,AMERICAN INSTITUTE IN TAIWAN^,AMERICAN INSTITUTE IN TAIWAN,0,3753000,2,0
2000,59:34.8,State and IAP,State,0,633271499^!,633271499,NULL,3709400,2,1
2000,59:34.8,State and IAP,USAID,27,ATTRANSCO^,ATTRANSCO,0,3678000,1,0
2000,59:34.8,State and IAP,State,0,366890887^!,366890887,NULL,3649000,1,1
2000,59:34.8,State and IAP,State,0,360684013^!,360684013,NULL,3591800.6,96,1
2000,59:34.8,State and IAP,USAID,28,Panalpina^,Panalpina,0,3500000,1,0
2000,59:34.8,State and IAP,State,37,EMCOR COMPANY^,EMCOR COMPANY,0,3403000,17,0
2000,59:34.8,State and IAP,State,38,KNOLL^,KNOLL,0,3398000,30,0
2000,59:34.8,State and IAP,USAID,29,Bechtel,BECHTEL,0,3349000,3,0
2000,59:34.8,State and IAP,State,39,TWD,TWD & ASSOCIATES,0,3348018.72,47,0
2000,59:34.8,State and IAP,State,40,Jacobs Engineering Group,JACOBS ENGINEERING GROUP,0,3347000,11,0
2000,59:34.8,State and IAP,State,0,323914986^!,323914986,NULL,3335000,1,1
2000,59:34.8,State and IAP,USAID,30,MACFADDEN & ASSOCIATES^,MACFADDEN & ASSOCIATES,0,3328000,3,0
2000,59:34.8,State and IAP,USAID,0,161206305^!,161206305,NULL,3300000,3,1
2000,59:34.8,State and IAP,State,0,98707706^!,98707706,NULL,3270000,2,1
2000,59:34.8,State and IAP,State,0,186533840^!,186533840,NULL,3269000,6,1
2000,59:34.8,State and IAP,State,0,499414613^!,499414613,NULL,3250000,4,1
2000,59:34.8,State and IAP,State,0,628118226^!,628118226,NULL,3218789.31,16,1
2000,59:34.8,State and IAP,State,0,927818633^!,927818633,NULL,3113000,15,1
2000,59:34.8,State and IAP,State,0,927485409^!,927485409,NULL,3026366.85,10,1
2000,59:34.8,State and IAP,USAID,31,MERLIN SHIPHOLDING^,MERLIN SHIPHOLDING,0,3000000,1,0
2000,59:34.8,State and IAP,USAID,0,83180034^!,83180034,NULL,2997964,2,1
2000,59:34.8,State and IAP,State,41,AMERICAN MANAGEMENT SYSTEMS^,AMERICAN MANAGEMENT SYSTEMS,0,2938000,14,0
2000,59:34.8,State and IAP,State,0,959191040^!,959191040,NULL,2912000,1,1
2000,59:34.8,State and IAP,USAID,32,PADCO [AECOM]^,PADCO [AECOM],0,2889000,7,0
2000,59:34.8,State and IAP,State,0,6918718^!,6918718,NULL,2885000,1,1
2000,59:34.8,State and IAP,State,42,SMITHGROUP^,SMITHGROUP,0,2873000,9,0
2000,59:34.8,State and IAP,USAID,33,SIBLEY INTERNATIONAL^,SIBLEY INTERNATIONAL,0,2861000,3,0
2000,59:34.8,State and IAP,USAID,0,954606505^!,954606505,NULL,2856000,1,1
2000,59:34.8,State and IAP,State,43,AMERICAN SYSTEMS^,AMERICAN SYSTEMS,0,2846298.34,39,0
2000,59:34.8,State and IAP,State,44,L3 COMMUNICATIONS^,L3 COMMUNICATIONS,0,2804000,4,0
2000,59:34.8,State and IAP,State,0,53607107^!,53607107,NULL,2681000,5,1
2000,59:34.8,State and IAP,State,0,794030788^!,794030788,NULL,2670000,2,1
2000,59:34.8,State and IAP,State,0,898406863^!,898406863,NULL,2588000,1,1
2000,59:34.8,State and IAP,State,45,Dell,DELL,0,2563000,40,0
2000,59:34.8,State and IAP,State,46,FLIR SYSTEMS^,FLIR SYSTEMS,0,2520000,1,0
2000,59:34.8,State and IAP,State,0,950009865^!,950009865,NULL,2519000,1,1
2000,59:34.8,State and IAP,USAID,34,"Sealift, Inc.",SEALIFT HOLDINGS,0,2469000,2,0
2000,59:34.8,State and IAP,State,0,621659242^!,621659242,NULL,2394000,11,1
2000,59:34.8,State and IAP,USAID,35,HAGLER BAILLY SERVICES^,HAGLER BAILLY SERVICES,0,2380000,6,0
2000,59:34.8,State and IAP,State,0,103938528^!,103938528,NULL,2364000,19,1
2000,59:34.8,State and IAP,State,47,MACFADDEN & ASSOCIATES^,MACFADDEN & ASSOCIATES,0,2343334.01,6,0
2000,59:34.8,State and IAP,USAID,0,804299832^!,804299832,NULL,2300000,2,1
2000,59:34.8,State and IAP,State,48,Unisys,UNISYS,0,2284000,18,0
2000,59:34.8,State and IAP,USAID,0,108254181^!,108254181,NULL,2250000,1,1
2000,59:34.8,State and IAP,USAID,36,ARD/CHECCHI^,ARD/CHECCHI,0,2205594,2,0
2000,59:34.8,State and IAP,USAID,37,FARRELL LINES^,FARRELL LINES,0,2205000,1,0
2000,59:34.8,State and IAP,USAID,38,OCEAN BULKSHIPS^,OCEAN BULKSHIPS,0,2202000,1,0
2000,59:34.8,State and IAP,State,0,827006677^!,827006677,NULL,2178805,17,1
2000,59:34.8,State and IAP,USAID,39,Computer Sciences Corp.,COMPUTER SCIENCES,0,2173000,4,0
2000,59:34.8,State and IAP,State,0,847414760^!,847414760,NULL,2148000,10,1
2000,59:34.8,State and IAP,State,49,Securitas AB,SECURITAS AB,0,2077000,2,0
2000,59:34.8,State and IAP,USAID,40,CASALS & ASSOCIATES^,CASALS & ASSOCIATES,0,2015000,6,0
2000,59:34.8,State and IAP,USAID,41,LT ASSOCIATES^,LT ASSOCIATES,0,2000000,1,0
2000,59:34.8,State and IAP,USAID,0,102970597^!,102970597,NULL,2000000,1,1
2000,59:34.8,State and IAP,State,0,161579735^!,161579735,NULL,1991000,5,1
2000,59:34.8,State and IAP,State,0,809961154^!,809961154,NULL,1977000,5,1
2000,59:34.8,State and IAP,USAID,42,AMERICAN INSTITUTE FOR RESEARCH^,AMERICAN INSTITUTE FOR RESEARCH,0,1909000,3,0
2000,59:34.8,State and IAP,State,0,191402676^!,191402676,NULL,1891830.4,14,1
2000,59:34.8,State and IAP,USAID,43,THE MITCHELL GROUP^,THE MITCHELL GROUP,0,1881000,4,0
2000,59:34.8,State and IAP,State,0,499252997^!,499252997,NULL,1868000,1,1
2000,59:34.8,State and IAP,USAID,44,DEVTECH SYSTEMS^,DEVTECH SYSTEMS,0,1838000,7,0
2000,59:34.8,State and IAP,State,0,645192287^!,645192287,NULL,1798000,1,1
2000,59:34.8,State and IAP,State,0,1737949^!,1737949,NULL,1795779.51,23,1
2000,59:34.8,State and IAP,State,0,34057596^!,34057596,NULL,1787000,6,1
2000,59:34.8,State and IAP,State,0,38792495^!,38792495,NULL,1750000,2,1
2000,59:34.8,State and IAP,State,50,CACI,CACI,0,1712000,39,0
2000,59:34.8,State and IAP,State,0,718645047^!,718645047,NULL,1706000,2,1
2000,59:34.8,State and IAP,USAID,45,EAST WEST MANAGEMENT INSTITUTE^,EAST WEST MANAGEMENT INSTITUTE,0,1704000,2,0
2000,59:34.8,State and IAP,USAID,0,825685399^!,825685399,NULL,1700000,1,1
2000,59:34.8,State and IAP,USAID,46,Tetra Tech,TETRA TECH,0,1653000,8,0
2000,59:34.8,State and IAP,USAID,47,PACT^,PACT,0,1640000,2,0
2000,59:34.8,State and IAP,State,0,259991177^!,259991177,NULL,1625000,2,1
2000,59:34.8,State and IAP,State,0,65703209^!,65703209,NULL,1592634,1,1
2000,59:34.8,State and IAP,State,51,APPTIS^,APPTIS,0,1574377.71,3,0
2000,59:34.8,State and IAP,USAID,0,126497122^!,126497122,NULL,1566000,5,1
2000,59:34.8,State and IAP,USAID,48,INTERNATIONAL BUSINESS & TECHN^,INTERNATIONAL BUSINESS & TECHN,0,1560000,5,0
2000,59:34.8,State and IAP,PEACE CORPS,0,556126928^!,556126928,NULL,1503000,4,1
2000,59:34.8,State and IAP,USAID,0,627994130^!,627994130,NULL,1501000,1,1
