fiscal_year,Customer,SubCustomer,PlatformPortfolio,SumOfnumberOfActions,SumOfobligatedAmount
1999,Defense,Other DoD,Electronics and Communications,7090,2311681048
1999,Defense,Other DoD,Other R&D and Knowledge Based,2313,1033722469
1999,Defense,Other DoD,Other Services,280,221520514
2000,Defense,Air Force,Other R&D and Knowledge Based,9217,4913694138
2000,Defense,Army,NULL,114,4767532.12
2000,Defense,Army,Aircraft and Drones,1957,2933923958
2000,Defense,DLA,Aircraft and Drones,6944,874887466
2000,Defense,Other DoD,NULL,11,2213101
2000,Defense,Other DoD,Land Vehicles,34,8376272
2000,Defense,Other DoD,Missile and Space Systems,7,10622388
2001,Defense,Air Force,NULL,1,0
2001,Defense,Air Force,Land Vehicles,473,109317854.5
2001,Defense,Air Force,Missile and Space Systems,1435,4334564347
2001,Defense,Air Force,Other Services,3642,1949654727
2001,Defense,Air Force,Unmanned,20,20500087
2001,Defense,Army,Facilities and Construction,48216,12495593109
2001,Defense,DLA,Facilities and Construction,5164,758080184.1
2001,Defense,DLA,Weapons and Ammunition,490,36511899
2001,Defense,MDA,Electronics and Communications,35,6970087
2001,Defense,MilitaryHealth,Electronics and Communications,3,391012
2001,Defense,MilitaryHealth,Other R&D and Knowledge Based,4,1163245
2001,Defense,Navy,Aircraft and Drones,3600,6598050835
2001,Defense,Navy,Land Vehicles,905,369261716
2001,Defense,Other DoD,Other R&D and Knowledge Based,2173,1025906684
2002,Defense,Air Force,Ships & Submarines,50,5911725
2002,Defense,Army,Aircraft and Drones,2303,4351744666
2002,Defense,DLA,Aircraft and Drones,10428,1239669613
2002,Defense,Navy,Other R&D and Knowledge Based,28346,6986985190
2002,Defense,Other DoD,NULL,23,3257853.25
2002,Defense,Other DoD,Aircraft and Drones,148,85056645
2002,Defense,Other DoD,Land Vehicles,46,12728350
2002,Defense,Other DoD,Missile and Space Systems,3,42018240
2003,Defense,NULL,Other Products,NULL,0
2003,Defense,Air Force,Unmanned,41,67377306
2003,Defense,Army,Facilities and Construction,106212,18936510470
2003,Defense,DLA,Facilities and Construction,8264,1256890074
2003,Defense,MDA,Electronics and Communications,69,24877924
2003,Defense,MDA,Other Products,2,9254
2003,Defense,MDA,Other Services,1,194646
2003,Defense,MilitaryHealth,Electronics and Communications,10,267806
2003,Defense,Navy,NULL,66,2995459.43
2003,Defense,Navy,Aircraft and Drones,5407,12510634619
2003,Defense,Navy,Land Vehicles,4431,451976918
1998,Defense,Army,Aircraft and Drones,1360,2116371061
1998,Defense,Army,Missile and Space Systems,1920,2715446103
1998,Defense,DLA,Aircraft and Drones,5742,571061091
1998,Defense,DLA,Missile and Space Systems,55,4660820
1998,Defense,MilitaryHealth,Other R&D and Knowledge Based,26,22836724
1998,Defense,Navy,Other Services,5253,2537416112
1998,Defense,Other DoD,Aircraft and Drones,126,63928629
1999,Defense,Air Force,Other Products,3516,1648967470
1999,Defense,Navy,Other R&D and Knowledge Based,19792,5707849010
1999,Defense,Navy,Other Services,5264,2488745856
1999,Defense,Other DoD,Missile and Space Systems,19,4042897
1999,Defense,Other DoD,Other Products,668,328960135
2000,Defense,Air Force,Weapons and Ammunition,1503,1937529221
2000,Defense,MilitaryHealth,Other Services,155,1366839732
2000,Defense,Navy,NULL,7,25841
2000,Defense,Navy,Land Vehicles,762,291045764
2000,Defense,Navy,Other R&D and Knowledge Based,20933,6322800072
2000,Defense,Navy,Ships & Submarines,11394,7059602606
2000,Defense,Other DoD,Other Products,686,197668212.1
2001,Defense,Air Force,Facilities and Construction,20253,4357569585
2001,Defense,Air Force,Weapons and Ammunition,1436,1943101561
2001,Defense,Army,Missile and Space Systems,2029,2838633846
2001,Defense,Army,Other Products,3790,677297596
2001,Defense,Army,Weapons and Ammunition,1722,2634217562
2001,Defense,DLA,Missile and Space Systems,99,9359590
2001,Defense,DLA,Other Products,31489,8038395089
2001,Defense,Navy,NULL,12,396812.83
2001,Defense,Navy,Facilities and Construction,38806,7167960511
2001,Defense,Other DoD,Aircraft and Drones,101,56286273
2001,Defense,Other DoD,Weapons and Ammunition,30,22479528
2002,Defense,NULL,Facilities and Construction,NULL,0
2002,Defense,Air Force,Land Vehicles,672,200924403.8
2002,Defense,Army,NULL,90,7230472.62
2002,Defense,Army,Other Products,9401,931372405.3
2002,Defense,Army,Weapons and Ammunition,2510,3316884325
2002,Defense,DLA,Other Products,39062,10507379581
2002,Defense,MDA,Other R&D and Knowledge Based,431,2356924459
2002,Defense,Navy,Electronics and Communications,21804,6397669308
2002,Defense,Navy,Facilities and Construction,60937,6734816600
2002,Defense,Other DoD,Weapons and Ammunition,46,84221452
2003,Defense,Air Force,Other Services,5728,5718660075
2003,Defense,Army,NULL,102,67555055.16
2003,Defense,DLA,Weapons and Ammunition,902,75644663
2003,Defense,MDA,Land Vehicles,2,15725
2003,Defense,MDA,Other R&D and Knowledge Based,516,2418208278
2003,Defense,MilitaryHealth,Other Services,588,5882504451
2003,Defense,Navy,Electronics and Communications,30911,7221306912
2003,Defense,Navy,Ships & Submarines,13668,10004832015
2003,Defense,Other DoD,Land Vehicles,72,17129387.17
2004,Defense,Air Force,Facilities and Construction,24973,6886254199
2004,Defense,Air Force,Other R&D and Knowledge Based,12656,7351823616
2004,Defense,Air Force,Other Services,5580,3600860197
2004,Defense,Army,Facilities and Construction,144614,21016270874
2004,Defense,DLA,Facilities and Construction,11479,1927347136
2004,Defense,DLA,Weapons and Ammunition,1035,102811045
2004,Defense,MDA,Facilities and Construction,266,161147130.8
2004,Defense,MDA,Land Vehicles,5,25345
2004,Defense,MilitaryHealth,Electronics and Communications,24,760095
2004,Defense,Navy,Aircraft and Drones,5236,13398736611
2004,Defense,Navy,Unmanned,17,15357206
2005,Defense,Air Force,Land Vehicles,2571,322842939.3
1997,Defense,Other DoD,Ships & Submarines,51,43144590
1998,Defense,Army,Electronics and Communications,15730,4612811618
1998,Defense,Army,Unmanned,2,342175
1998,Defense,DLA,Electronics and Communications,5905,584985391
1998,Defense,DLA,Weapons and Ammunition,285,17204082
1998,Defense,MilitaryHealth,Other Services,382,2559715040
1998,Defense,Navy,Ships & Submarines,5304,7147306888
1998,Defense,Other DoD,Other Products,411,172996268
1998,Defense,Other DoD,Other Services,299,204674594
1999,Defense,Air Force,Facilities and Construction,16482,4343947338
1999,Defense,Air Force,Other R&D and Knowledge Based,9619,4860603346
1999,Defense,Air Force,Weapons and Ammunition,1442,1156721265
1999,Defense,Army,Aircraft and Drones,1607,2525607471
1999,Defense,Army,Ships & Submarines,330,100682837
1999,Defense,DLA,Aircraft and Drones,5896,697331538
1999,Defense,Navy,Other Products,3348,619068906
2000,Defense,Air Force,NULL,2,10000
2000,Defense,Air Force,Land Vehicles,604,197613225
2000,Defense,Air Force,Missile and Space Systems,1394,3342563686
2000,Defense,Army,Other Products,3287,695883122
2000,Defense,MilitaryHealth,Other R&D and Knowledge Based,3,2027192
2000,Defense,Other DoD,Other R&D and Knowledge Based,2350,1052857522
2000,Defense,Other DoD,Weapons and Ammunition,28,7283870
2001,Defense,Army,NULL,88,4175208.32
2001,Defense,Navy,Electronics and Communications,17764,5214196150
2001,Defense,Navy,Other R&D and Knowledge Based,20918,5611689866
2001,Defense,Navy,Weapons and Ammunition,1584,1487973461
2001,Defense,Other DoD,NULL,17,626059
2001,Defense,Other DoD,Land Vehicles,22,3164139
2002,Defense,Air Force,Other Services,4600,2610778132
2002,Defense,Air Force,Unmanned,21,18763799
2002,Defense,Army,Facilities and Construction,75620,14140830971
2002,Defense,Army,Other R&D and Knowledge Based,28334,7205050310
2002,Defense,DLA,Facilities and Construction,6960,918936369.4
2002,Defense,DLA,Other R&D and Knowledge Based,1360,371083655.5
2002,Defense,DLA,Weapons and Ammunition,703,57012937
2002,Defense,MDA,Other Products,1,2940
2002,Defense,MDA,Other Services,1,143615.2
2002,Defense,MilitaryHealth,Electronics and Communications,8,52070
2002,Defense,Navy,NULL,46,52766816.14
2002,Defense,Navy,Aircraft and Drones,5150,8416499058
2002,Defense,Navy,Land Vehicles,5163,748744652
2002,Defense,Navy,Missile and Space Systems,884,2498234195
2002,Defense,Other DoD,Facilities and Construction,2236,1202858720
2003,Defense,Air Force,Ships & Submarines,71,7538827
2003,Defense,Army,Aircraft and Drones,5724,5884030673
2003,Defense,Army,Land Vehicles,7898,7741652375
2003,Defense,Army,Missile and Space Systems,3454,3433672259
2003,Defense,Army,Weapons and Ammunition,4013,4002090239
2003,Defense,DLA,NULL,NULL,0
2003,Defense,DLA,Land Vehicles,5215,425851294
2003,Defense,DLA,Missile and Space Systems,158,22332529
2003,Defense,Navy,Unmanned,16,49331576
2003,Defense,Other DoD,Aircraft and Drones,169,151590353.3
2004,Defense,NULL,Electronics and Communications,NULL,401586
2004,Defense,Air Force,Other Products,25846,1456064815
2004,Defense,MDA,Electronics and Communications,56,27214051.62
2004,Defense,Navy,Other Services,13425,3342713215
2004,Defense,Other DoD,Ships & Submarines,55,23330569.95
2005,Defense,Army,Other Services,30283,9846403987
2005,Defense,Army,Unmanned,105,437645711
1997,Defense,Army,Ships & Submarines,295,84343314
1997,Defense,DLA,Ships & Submarines,201,17312357
1997,Defense,MilitaryHealth,Facilities and Construction,5,1556694
1997,Defense,Navy,Missile and Space Systems,812,2470170718
1997,Defense,Navy,Other Products,3081,638432464
1997,Defense,Other DoD,Facilities and Construction,982,291068563
1998,Defense,Air Force,Aircraft and Drones,6171,10627654093
1998,Defense,Air Force,Land Vehicles,514,189792534
1998,Defense,Army,Other Products,3308,594992033
1998,Defense,Army,Weapons and Ammunition,1318,2044333708
1998,Defense,DLA,Other Products,19668,5415583641
1998,Defense,Navy,Facilities and Construction,19567,6083713706
1998,Defense,Other DoD,Electronics and Communications,6901,2187628833
1998,Defense,Other DoD,Weapons and Ammunition,21,6000866
1999,Defense,MDA,Other R&D and Knowledge Based,533,921790848
1999,Defense,Navy,Electronics and Communications,17668,4665148202
1999,Defense,Navy,Weapons and Ammunition,1572,1927199457
1999,Defense,Other DoD,Land Vehicles,14,1560521
2000,Defense,Air Force,Other Services,3617,1782014169
2000,Defense,Air Force,Unmanned,26,29846441
2000,Defense,Army,Electronics and Communications,15555,5436233445
2000,Defense,Army,Facilities and Construction,42641,11091149487
2000,Defense,DLA,Electronics and Communications,6272,809921703
2000,Defense,DLA,Facilities and Construction,3229,522532245.9
2000,Defense,DLA,Weapons and Ammunition,331,32956810
2000,Defense,MilitaryHealth,Electronics and Communications,2,939214
2000,Defense,Navy,Aircraft and Drones,3943,7658800428
2000,Defense,Other DoD,Other Services,701,250221552
2001,Defense,Air Force,Other R&D and Knowledge Based,9152,5321504569
2001,Defense,Air Force,Ships & Submarines,47,6983031
2001,Defense,Army,Aircraft and Drones,1903,3930149702
2001,Defense,Army,Land Vehicles,2375,4063720388
2001,Defense,DLA,NULL,NULL,0
2001,Defense,DLA,Aircraft and Drones,8629,1029420878
2001,Defense,DLA,Land Vehicles,3006,267989465
2001,Defense,MDA,Facilities and Construction,101,108534775
2001,Defense,Navy,Unmanned,1,23600000
2002,Defense,Air Force,NULL,7,25000
2002,Defense,Air Force,Missile and Space Systems,1889,4675873329
2002,Defense,Air Force,Other Products,1793,1898452916
2002,Defense,MDA,Electronics and Communications,63,20518331
2002,Defense,MilitaryHealth,Other R&D and Knowledge Based,17,4063051
2002,Defense,Navy,Other Services,9895,2942252894
2002,Defense,Other DoD,Other R&D and Knowledge Based,3092,1655304523
2002,Defense,Other DoD,Ships & Submarines,61,35222132
2003,Defense,Army,Other Services,14179,4886309960
2003,Defense,DLA,Other Services,80,50749144.58
2003,Defense,MilitaryHealth,NULL,1,0
2003,Defense,Navy,Other R&D and Knowledge Based,25602,7048740979
2003,Defense,Other DoD,NULL,18,4339649
2003,Defense,Other DoD,Missile and Space Systems,10,15993623
2003,Defense,Other DoD,Other Products,1486,455297537
2004,Defense,Air Force,Electronics and Communications,18324,7282736990
2004,Defense,Air Force,Unmanned,37,54774485.84
2004,Defense,Air Force,Weapons and Ammunition,2138,3081871171
2004,Defense,Army,Other R&D and Knowledge Based,41083,11173096169
2004,Defense,Army,Ships & Submarines,887,123332348
2004,Defense,DLA,Other R&D and Knowledge Based,627,257963399.2
2004,Defense,DLA,Ships & Submarines,737,83393517
2004,Defense,MDA,Other Services,8,1924662
1999,Defense,Army,Missile and Space Systems,1882,2609830152
1999,Defense,Army,Weapons and Ammunition,1334,2265193703
1999,Defense,DLA,Missile and Space Systems,51,4186151
1999,Defense,Navy,Land Vehicles,639,234611378
1999,Defense,Other DoD,Aircraft and Drones,129,60767538
2000,Defense,Air Force,Other Products,2760,1247216578
2000,Defense,Army,Missile and Space Systems,2010,2908337412
2000,Defense,Army,Weapons and Ammunition,1601,2386971143
2000,Defense,DLA,Missile and Space Systems,64,6334630
2000,Defense,DLA,Other Products,24645,6801556650
2000,Defense,MDA,Other R&D and Knowledge Based,400,1368733580
2000,Defense,Navy,Facilities and Construction,36970,6400620484
2000,Defense,Navy,Other Services,5798,2489729242
2000,Defense,Other DoD,Aircraft and Drones,101,67539748
2001,Defense,MDA,Other R&D and Knowledge Based,293,1558090446
2001,Defense,MilitaryHealth,Other Services,329,2346504288
2001,Defense,Navy,Other Services,6120,2600808144
2001,Defense,Navy,Ships & Submarines,10358,10520713592
2001,Defense,Other DoD,Other Products,681,189523672
2002,Defense,NULL,Other Products,NULL,0
2002,Defense,Air Force,Facilities and Construction,21688,4958257265
2002,Defense,Air Force,Other R&D and Knowledge Based,10909,6315564724
2002,Defense,Air Force,Weapons and Ammunition,1648,3122996405
2002,Defense,MilitaryHealth,Other Services,352,4180571837
2002,Defense,Navy,Ships & Submarines,12164,10178594614
2002,Defense,Other DoD,Other Products,1129,256884317
2003,Defense,Air Force,NULL,13,1008658.1
2003,Defense,Air Force,Facilities and Construction,27632,6774655473
2003,Defense,Air Force,Land Vehicles,955,251904793
2003,Defense,Air Force,Other R&D and Knowledge Based,11996,7199927657
2003,Defense,Air Force,Weapons and Ammunition,2080,3236841845
2003,Defense,Army,Other Products,28095,1797368713
2003,Defense,DLA,Other Products,49582,12846001958
2003,Defense,MDA,Facilities and Construction,282,136679529
2003,Defense,Navy,Facilities and Construction,64716,8761057631
2003,Defense,Other DoD,Other R&D and Knowledge Based,3377,2005416539
2003,Defense,Other DoD,Weapons and Ammunition,89,85819295
2004,Defense,Air Force,NULL,1,-7400
2004,Defense,Air Force,Land Vehicles,883,314612676.9
2004,Defense,Army,NULL,12,2394869
2004,Defense,Army,Other Products,50243,2096678002
2004,Defense,MDA,Other R&D and Knowledge Based,410,2847387552
2004,Defense,Navy,Electronics and Communications,46682,8880194739
2004,Defense,Other DoD,NULL,237,1969306.04
2004,Defense,Other DoD,Land Vehicles,112,33627676.38
2004,Defense,Other DoD,Other R&D and Knowledge Based,5291,2454801179
2004,Defense,Other DoD,Weapons and Ammunition,77,113464185
2005,Defense,Air Force,Other Services,10864,4740407199
2005,Defense,Air Force,Unmanned,36,58744253.84
2005,Defense,Army,NULL,45,2925495
2005,Defense,Army,Facilities and Construction,149043,23085546878
2005,Defense,Army,Other R&D and Knowledge Based,44069,14220356989
2005,Defense,DLA,Facilities and Construction,65644,2283124876
2005,Defense,DLA,Other R&D and Knowledge Based,1531,229324483.9
2005,Defense,DLA,Weapons and Ammunition,3966,81054792
2005,Defense,MilitaryHealth,Electronics and Communications,25,698698
2005,Defense,Navy,Aircraft and Drones,10624,15204915678
2005,Defense,Navy,Electronics and Communications,76341,8956837930
2005,Defense,Other DoD,NULL,82,563383.2
2005,Defense,Other DoD,Land Vehicles,257,26103370.16
2006,Defense,Air Force,Other Services,11378,4888868080
1997,Defense,DLA,Land Vehicles,2204,201511126
1997,Defense,DLA,Weapons and Ammunition,218,15594672
1997,Defense,MDA,Electronics and Communications,12,1702744
1997,Defense,MilitaryHealth,Electronics and Communications,12,726898
1997,Defense,Navy,Aircraft and Drones,3132,6295750921
1997,Defense,Navy,Electronics and Communications,15213,4170167714
1997,Defense,Navy,Unmanned,4,618172
1997,Defense,Other DoD,Other R&D and Knowledge Based,2097,845363175
1998,Defense,Air Force,Ships & Submarines,42,8441941
1998,Defense,Army,Other R&D and Knowledge Based,13904,4960207124
1998,Defense,DLA,Other R&D and Knowledge Based,581,127273593
1998,Defense,Navy,Missile and Space Systems,790,2538262993
1998,Defense,Other DoD,Land Vehicles,17,1089382
1999,Defense,Air Force,Unmanned,21,33895205
1999,Defense,Army,Facilities and Construction,36293,11040924731
1999,Defense,Army,Land Vehicles,2124,2597537000
1999,Defense,Army,Other Services,4527,2290654774
1999,Defense,DLA,Land Vehicles,2303,217965383
1999,Defense,DLA,Other Services,79,16867189
1999,Defense,MDA,Electronics and Communications,10,4071894
1999,Defense,MilitaryHealth,Electronics and Communications,15,-692591
1999,Defense,Navy,Unmanned,1,79907
1999,Defense,Other DoD,Facilities and Construction,1346,350453235
1999,Defense,Other DoD,Ships & Submarines,34,18243075
2000,Defense,Air Force,Aircraft and Drones,6057,14809064869
2000,Defense,Air Force,Electronics and Communications,12607,5171242397
2000,Defense,Air Force,Ships & Submarines,45,9046362
2000,Defense,Army,Other R&D and Knowledge Based,15331,5381650878
2000,Defense,Army,Ships & Submarines,275,60211874
2000,Defense,DLA,Other R&D and Knowledge Based,949,249599745.7
2000,Defense,DLA,Ships & Submarines,228,23874531
2000,Defense,Navy,Missile and Space Systems,732,2040367506
2001,Defense,NULL,Electronics and Communications,NULL,0
2001,Defense,Army,Other Services,4910,2616737884
2001,Defense,Army,Unmanned,48,85532541
2001,Defense,DLA,Other Services,57,7740460
2001,Defense,MDA,Other Services,3,263102
2001,Defense,Navy,Other Products,3310,720110582.6
2001,Defense,Other DoD,Electronics and Communications,10263,2953154165
2001,Defense,Other DoD,Facilities and Construction,1514,612852696.3
2001,Defense,Other DoD,Other Services,556,257391073
2001,Defense,Other DoD,Ships & Submarines,26,22700701
2002,Defense,Air Force,Aircraft and Drones,6689,17851875359
2002,Defense,Air Force,Electronics and Communications,15270,5745797495
2002,Defense,Army,Electronics and Communications,32114,5746232890
2002,Defense,Army,Ships & Submarines,689,119451505
2002,Defense,DLA,Electronics and Communications,12163,1101425246
2002,Defense,DLA,Ships & Submarines,485,41479225
2002,Defense,MDA,Missile and Space Systems,1,148268
2003,Defense,Air Force,Missile and Space Systems,2117,4880737870
2003,Defense,Army,Unmanned,76,219659951
2003,Defense,MilitaryHealth,Other R&D and Knowledge Based,28,735518
2003,Defense,Navy,Other Products,6807,1277392762
2003,Defense,Navy,Weapons and Ammunition,2564,2648763707
2003,Defense,Other DoD,Electronics and Communications,13642,4319890733
2003,Defense,Other DoD,Other Services,1048,478534185.6
2004,Defense,Army,Aircraft and Drones,5625,7319118806
2004,Defense,Army,Electronics and Communications,59032,9832319857
2004,Defense,DLA,Aircraft and Drones,11788,918478605
2004,Defense,DLA,Electronics and Communications,15917,1670269378
1997,Defense,DLA,Other R&D and Knowledge Based,447,81685557
1997,Defense,Other DoD,Land Vehicles,21,1416003
1998,Defense,Air Force,Other Services,3253,2090640548
1998,Defense,Air Force,Unmanned,9,16479533
1998,Defense,Army,Facilities and Construction,36587,10750144406
1998,Defense,Army,Land Vehicles,1862,1947768962
1998,Defense,Army,Other Services,4668,1243268723
1998,Defense,DLA,Facilities and Construction,2657,358502592
1998,Defense,DLA,Land Vehicles,2179,171948244
1998,Defense,DLA,Other Services,65,29573933
1998,Defense,MDA,Electronics and Communications,12,2668646
1998,Defense,MDA,Facilities and Construction,31,12007965
1998,Defense,MilitaryHealth,Electronics and Communications,17,1069849
1998,Defense,Navy,Aircraft and Drones,3711,7992481767
1998,Defense,Navy,Unmanned,2,250570
1998,Defense,Other DoD,Facilities and Construction,994,232859427
1998,Defense,Other DoD,Other R&D and Knowledge Based,2196,944365863
1998,Defense,Other DoD,Ships & Submarines,50,66075809
1999,Defense,Air Force,Electronics and Communications,12872,4569675557
1999,Defense,Air Force,Ships & Submarines,38,2858379
1999,Defense,Army,Other R&D and Knowledge Based,14148,4604229423
1999,Defense,DLA,Other R&D and Knowledge Based,698,157093527
1999,Defense,DLA,Ships & Submarines,173,13105386
1999,Defense,Navy,Missile and Space Systems,822,2337150985
2000,Defense,NULL,Electronics and Communications,NULL,0
2000,Defense,Army,Land Vehicles,2314,3393087945
2000,Defense,Army,Other Services,4280,2385009366
2000,Defense,Army,Unmanned,36,76384096
2000,Defense,DLA,NULL,NULL,0
2000,Defense,DLA,Land Vehicles,2473,240445062
2000,Defense,DLA,Other Services,57,18747108
2000,Defense,MDA,Electronics and Communications,16,5882208
2000,Defense,Other DoD,Electronics and Communications,8274,2408523238
2000,Defense,Other DoD,Facilities and Construction,1625,568474345.4
2000,Defense,Other DoD,Ships & Submarines,27,13215917
2001,Defense,Air Force,Aircraft and Drones,5394,15717207141
2001,Defense,Air Force,Electronics and Communications,12431,5282344802
2001,Defense,Army,Ships & Submarines,344,88208028
2001,Defense,DLA,Electronics and Communications,8341,911939973.7
2001,Defense,DLA,Ships & Submarines,350,26697486
2001,Defense,Navy,Missile and Space Systems,650,1892356037
2002,Defense,NULL,Electronics and Communications,NULL,0
2002,Defense,Army,Unmanned,49,106935325
2002,Defense,Navy,Other Products,4459,789453742.4
2002,Defense,Other DoD,Electronics and Communications,13451,3509961797
2002,Defense,Other DoD,Other Services,664,269525976.9
2003,Defense,Air Force,Aircraft and Drones,7365,19663086938
2003,Defense,Army,Electronics and Communications,47005,8036341454
2003,Defense,Army,Ships & Submarines,745,172148279
2003,Defense,DLA,Aircraft and Drones,10443,1182291715
2003,Defense,DLA,Electronics and Communications,14362,1339405534
2003,Defense,DLA,Ships & Submarines,533,40991893
2003,Defense,MDA,Missile and Space Systems,24,91509720
2004,Defense,Air Force,Missile and Space Systems,2273,5738832870
2004,Defense,MilitaryHealth,Other R&D and Knowledge Based,19,1089731
2004,Defense,Navy,Other Products,16661,1621863376
2004,Defense,Navy,Weapons and Ammunition,2407,2152379643
2004,Defense,Other DoD,Other Services,1210,551926324.2
2005,Defense,Army,Aircraft and Drones,6406,5592625925
2005,Defense,Army,Electronics and Communications,56249,11960074309
1997,Defense,DLA,Electronics and Communications,5586,546257081
1997,Defense,DLA,Missile and Space Systems,34,3138139
1997,Defense,MilitaryHealth,Other Services,285,1859745709
1997,Defense,Other DoD,Other Products,292,73705597
1997,Defense,Other DoD,Weapons and Ammunition,9,15835414
1998,Defense,Air Force,Facilities and Construction,16605,4377819936
1998,Defense,Air Force,Weapons and Ammunition,1331,948661803
1998,Defense,MDA,Other R&D and Knowledge Based,516,537404878
1998,Defense,MilitaryHealth,Ships & Submarines,1,153021
1998,Defense,Navy,Electronics and Communications,15877,4147128471
1998,Defense,Navy,Other Products,3686,652204266
1999,Defense,Air Force,Aircraft and Drones,6422,12748508191
1999,Defense,Army,Electronics and Communications,15211,4987036591
1999,Defense,DLA,Electronics and Communications,5571,770772097
1999,Defense,MilitaryHealth,Other Services,366,2683326566
1999,Defense,Other DoD,Weapons and Ammunition,23,2985025
2000,Defense,Air Force,Facilities and Construction,21304,4506335006
2000,Defense,MDA,Facilities and Construction,1,49921
2000,Defense,Navy,Electronics and Communications,18980,5927164486
2000,Defense,Navy,Other Products,3067,705146941
2000,Defense,Navy,Weapons and Ammunition,1730,1575392361
2001,Defense,Air Force,Other Products,2369,1611554693
2001,Defense,Army,Electronics and Communications,15967,5710692914
2001,Defense,Army,Other R&D and Knowledge Based,16755,5367046399
2001,Defense,DLA,Other R&D and Knowledge Based,1161,339824627
2002,Defense,Army,Land Vehicles,4341,3785471569
2002,Defense,Army,Missile and Space Systems,3148,3701179656
2002,Defense,Army,Other Services,9559,2676364635
2002,Defense,DLA,Land Vehicles,3760,312589464
2002,Defense,DLA,Missile and Space Systems,125,10506028
2002,Defense,DLA,Other Services,66,26939245
2002,Defense,MDA,Facilities and Construction,223,108266594
2002,Defense,Navy,Unmanned,6,5734493
2002,Defense,Navy,Weapons and Ammunition,2627,2044032190
2003,Defense,Air Force,Electronics and Communications,18684,7040343174
2003,Defense,Air Force,Other Products,2549,726669196.2
2003,Defense,Army,Other R&D and Knowledge Based,34273,8890785289
2003,Defense,DLA,Other R&D and Knowledge Based,1266,438833865.6
2003,Defense,Navy,Missile and Space Systems,1309,3175318149
2004,Defense,Army,Land Vehicles,10720,6306979728
2004,Defense,Army,Missile and Space Systems,2894,3626524773
2004,Defense,Army,Other Services,28969,10087677848
2004,Defense,Army,Unmanned,83,221253134
2004,Defense,Army,Weapons and Ammunition,4518,4163535698
2004,Defense,DLA,Land Vehicles,6732,666392423.2
2004,Defense,DLA,Missile and Space Systems,173,11978193
2004,Defense,DLA,Other Services,104,58704883
2004,Defense,MilitaryHealth,Other Services,701,5120436793
2004,Defense,Other DoD,Electronics and Communications,13810,4508576471
2004,Defense,Other DoD,Other Products,2070,820601007.6
2005,Defense,Air Force,Electronics and Communications,31607,8040866161
2005,Defense,Air Force,Facilities and Construction,62324,7394197661
2005,Defense,Air Force,Other Products,35361,819047488.2
2005,Defense,Air Force,Weapons and Ammunition,2733,2904410697
2005,Defense,Army,Ships & Submarines,1017,123119520
2005,Defense,DLA,Ships & Submarines,4268,152355606
2005,Defense,MDA,Other R&D and Knowledge Based,408,2937285589
2005,Defense,Navy,Missile and Space Systems,1487,4570052034
2006,Defense,Army,Other Services,29915,9799738963
2006,Defense,Army,Unmanned,85,458518853
2003,Defense,Navy,Other Services,10802,3786625602
2003,Defense,Other DoD,Facilities and Construction,2313,1134680407
2003,Defense,Other DoD,Ships & Submarines,63,23667933
2004,Defense,Air Force,Aircraft and Drones,7496,19283165547
2004,Defense,Air Force,Ships & Submarines,65,5594782
2004,Defense,DLA,Other Products,60434,13921338983
2004,Defense,Navy,Facilities and Construction,59772,7210834348
2004,Defense,Navy,Other R&D and Knowledge Based,28338,7071361965
2004,Defense,Navy,Ships & Submarines,14477,11248813122
2004,Defense,Other DoD,Aircraft and Drones,195,216549390.4
2004,Defense,Other DoD,Missile and Space Systems,31,67323259
2005,Defense,MDA,Other Services,11,1975971
2005,Defense,MilitaryHealth,Facilities and Construction,13,349130
2005,Defense,Navy,NULL,3,415117
2005,Defense,Navy,Other Products,46764,2199571776
2005,Defense,Navy,Other Services,31586,3740530728
2005,Defense,Other DoD,Facilities and Construction,6336,759266289.3
2005,Defense,Other DoD,Ships & Submarines,139,27467025
2006,Defense,Air Force,Aircraft and Drones,12180,21688400991
2006,Defense,Air Force,Land Vehicles,2253,252621740.5
2006,Defense,Army,Electronics and Communications,60448,12729350494
2006,Defense,Army,Other Products,81774,8149297600
2006,Defense,DLA,Electronics and Communications,55079,1718534826
2006,Defense,DLA,Other Products,318387,24568032579
2006,Defense,MDA,Missile and Space Systems,610,841930156
2006,Defense,Navy,Facilities and Construction,72812,8746068362
2006,Defense,Navy,Ships & Submarines,19323,13128947724
2007,Defense,Air Force,Other R&D and Knowledge Based,29782,10548796001
2007,Defense,Army,NULL,29,19375859.56
2007,Defense,Navy,Other Products,42534,2210241057
2007,Defense,Navy,Weapons and Ammunition,4143,3461002729
2008,Defense,Air Force,NULL,NULL,0
2008,Defense,Air Force,Aircraft and Drones,15585,19615377120
2008,Defense,Air Force,Land Vehicles,2450,174747115
2008,Defense,Air Force,Other Services,10471,3917464006
2008,Defense,Army,Electronics and Communications,73791,17980430284
2008,Defense,Army,Facilities and Construction,169597,36689013770
2008,Defense,Army,Other Products,122205,11576573072
2008,Defense,DLA,Electronics and Communications,61109,1777275941
2008,Defense,DLA,Facilities and Construction,70078,2733463869
2008,Defense,DLA,Weapons and Ammunition,3718,211455179.9
2008,Defense,MDA,Missile and Space Systems,1752,3350410878
2008,Defense,MilitaryHealth,Electronics and Communications,41,2351855.54
2008,Defense,Navy,Aircraft and Drones,13112,22384662328
