fiscal_year,Query_Run_Date,SingleYearObligatedAmount,SingleYearbaseandexercisedoptionsvalue,SingleYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2000,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,228,255,10504988.18,255
2014,42039.73265,Zero value,Less than $250 thousand,$250 thousand - <$1 million,111,135,0,135
2005,42039.73265,Deobligation,Less than $250 thousand,Zero value,1,1,-8692.27,1
2012,42039.73265,Zero value,$250 thousand - <$1 million,Zero value,12,17,0,17
2012,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,Deobligation,2,21,15842805.86,21
2010,42039.73265,$1 - <$5 million,$5 - <$25 million,Less than $250 thousand,5,28,12857836.46,28
2010,42039.73265,Zero value,NULL,$1 - <$5 million,2979,5566,0,NULL
2014,42039.73265,$1 - <$5 million,Less than $250 thousand,Zero value,5,17,9805218.25,17
2011,42039.73265,$5 - <$25 million,$1 - <$5 million,Less than $250 thousand,3,37,17997597.85,45
2008,42039.73265,$5 - <$25 million,Deobligation,$1 - <$5 million,1,7,19344495,7
2008,42039.73265,Less than $250 thousand,Deobligation,Zero value,11,20,226768.21,20
2008,42039.73265,Deobligation,$25 - <$100 million,$25 - <$100 million,6,27,-58306193.97,27
2010,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,193,1199,366853622.8,1236
2014,42039.73265,Greater than $500 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,741,1358639442,754
2005,42039.73265,$100 - <$500 million,$100 - <$500 million,Greater than $500 million,1,5,244818667,5
2009,42039.73265,Greater than $500 million,$5 - <$25 million,$5 - <$25 million,2,172,4297695341,172
1997,42039.73265,$1 - <$5 million,NULL,NULL,8118,52373,17598518563,53238
2004,42039.73265,$25 - <$100 million,Greater than $500 million,Greater than $500 million,4,7,151825942.3,7
2014,42039.73265,Less than $250 thousand,$25 - <$100 million,$25 - <$100 million,19,54,1095388.647,54
2008,42039.73265,$1 - <$5 million,Zero value,Zero value,3017,17886,6715671064,17914
2010,42039.73265,$5 - <$25 million,Less than $250 thousand,Deobligation,1,11,7542582.37,11
2010,42039.73265,Greater than $500 million,Zero value,Zero value,9,418,9920698273,418
2011,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,Deobligation,1,5,789949,5
2011,42039.73265,$25 - <$100 million,$1 - <$5 million,Zero value,1,9,36961986.63,9
2014,42039.73265,Zero value,NULL,$250 thousand - <$1 million,2258,3495,0,NULL
2014,42039.73265,$1 - <$5 million,Zero value,$1 - <$5 million,2,11,9139168.82,19
2012,42039.73265,$250 thousand - <$1 million,Deobligation,Deobligation,309,1262,156008536,1296
2006,42039.73265,$250 thousand - <$1 million,Zero value,$250 thousand - <$1 million,37,54,19996964,54
2012,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,217,1330,441786529.9,1353
2002,42039.73265,$5 - <$25 million,Zero value,$25 - <$100 million,2,11,20293940,11
2012,42039.73265,Zero value,NULL,$100 - <$500 million,421,1204,0,NULL
2012,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$250 thousand - <$1 million,6,44,2834301.45,44
2008,42039.73265,Zero value,Less than $250 thousand,Zero value,98,162,0,163
2007,42039.73265,$5 - <$25 million,$5 - <$25 million,Less than $250 thousand,9,67,94332081.59,70
2013,42039.73265,$250 thousand - <$1 million,Deobligation,$5 - <$25 million,1,4,700407.1,5
2000,42039.73265,Zero value,NULL,$5 - <$25 million,3,5,0,NULL
2009,42039.73265,$5 - <$25 million,$1 - <$5 million,Less than $250 thousand,3,12,19363754.75,13
2006,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,24,58,12796156.16,58
1997,42039.73265,Greater than $500 million,NULL,NULL,14,196,12907851829,2692
2006,42039.73265,Zero value,Less than $250 thousand,Zero value,59,67,0,67
2003,42039.73265,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,1,3,7130000,3
2005,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Zero value,7,40,3608448.76,40
1999,42039.73265,Greater than $500 million,NULL,NULL,11,222,11474751570,1996
2001,42039.73265,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,5,6,720487,6
2012,42039.73265,$25 - <$100 million,$25 - <$100 million,$1 - <$5 million,23,414,955494384.9,478
2005,42039.73265,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,15,23,601340.45,23
2004,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,1,3,236000,3
2009,42039.73265,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,435,1674,1290504162,1816
2013,42039.73265,Deobligation,Deobligation,$1 - <$5 million,5,29,-8338212.264,29
2006,42039.73265,$25 - <$100 million,$250 thousand - <$1 million,$1 - <$5 million,1,26,48435913,26
2014,42039.73265,$1 - <$5 million,$5 - <$25 million,$1 - <$5 million,15,153,49935485.18,183
2011,42039.73265,$5 - <$25 million,$25 - <$100 million,$1 - <$5 million,3,47,46618251.68,73
2012,42039.73265,$5 - <$25 million,$5 - <$25 million,Less than $250 thousand,58,428,561864281.1,489
2006,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,9,31,876989.02,31
2008,42039.73265,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,73,116,4786189.66,125
2006,42039.73265,Less than $250 thousand,$100 - <$500 million,$100 - <$500 million,31,50,3083885.28,50
2013,42039.73265,$1 - <$5 million,Zero value,Zero value,859,5365,1864076364,5694
2007,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,881,2175,529606605,2232
2007,42039.73265,$5 - <$25 million,Zero value,Deobligation,2,22,10828737,22
2009,42039.73265,Zero value,$1 - <$5 million,$250 thousand - <$1 million,1,8,0,8
2008,42039.73265,$1 - <$5 million,$25 - <$100 million,$25 - <$100 million,60,423,158324552.9,455
2007,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$5 - <$25 million,1,14,15867421,14
2003,42039.73265,Less than $250 thousand,Zero value,Zero value,363220,420848,18422484550,426195
2014,42039.73265,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,359,1861,753887688.9,1889
1994,42039.73265,Zero value,NULL,NULL,219,436,0,446
2003,42039.73265,Greater than $500 million,Zero value,Zero value,31,934,33358295690,965
2003,42039.73265,Zero value,Zero value,Greater than $500 million,41,41,0,41
2004,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Zero value,2,2,336508,2
1999,42039.73265,$100 - <$500 million,NULL,NULL,133,5379,26093811336,5610
2004,42039.73265,Zero value,Less than $250 thousand,$250 thousand - <$1 million,9,10,0,10
2005,42039.73265,Less than $250 thousand,NULL,Zero value,2,6,79489.44,NULL
2009,42039.73265,$25 - <$100 million,$25 - <$100 million,Less than $250 thousand,3,32,99521132.14,47
2008,42039.73265,Less than $250 thousand,$5 - <$25 million,$100 - <$500 million,1,1,15000,1
2002,42039.73265,$25 - <$100 million,Zero value,Zero value,603,7785,27472998101,8297
2004,42039.73265,$1 - <$5 million,NULL,Zero value,1,3,2999022,NULL
2009,42039.73265,$25 - <$100 million,$25 - <$100 million,Greater than $500 million,2,58,156287148.2,58
2010,42039.73265,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,5,5,721952.16,5
2011,42039.73265,$25 - <$100 million,$25 - <$100 million,$250 thousand - <$1 million,6,96,232835460.5,110
2014,42039.73265,$250 thousand - <$1 million,$100 - <$500 million,Zero value,1,1,270000,1
2011,42039.73265,Less than $250 thousand,Deobligation,Zero value,13,24,505617.33,25
2011,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Zero value,75,235,31788073.95,239
2007,42039.73265,Zero value,$1 - <$5 million,$25 - <$100 million,1,1,0,1
2011,42039.73265,$100 - <$500 million,Greater than $500 million,Greater than $500 million,9,143,2548388440,191
2014,42039.73265,Deobligation,$1 - <$5 million,$1 - <$5 million,15,36,-7881258.511,36
2011,42039.73265,$100 - <$500 million,$100 - <$500 million,Zero value,2,27,591330278.1,31
2008,42039.73265,$250 thousand - <$1 million,$25 - <$100 million,$100 - <$500 million,2,5,1171800,7
2012,42039.73265,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,29,849,1905471668,874
2011,42039.73265,$1 - <$5 million,Greater than $500 million,Greater than $500 million,15,52,39898967.68,52
2013,42039.73265,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,774,2438,1931416431,2613
2004,42039.73265,$5 - <$25 million,Zero value,Zero value,4128,19786,42004868846,23278
2002,42039.73265,Deobligation,Deobligation,Deobligation,3,3,-39944.74,3
2011,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Zero value,102,324,15051636.6,330
2011,42039.73265,Deobligation,Less than $250 thousand,Zero value,2,4,-8293,4
2009,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Zero value,83,443,55982472.82,457
2005,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,17,42,9633324.14,49
2011,42039.73265,Zero value,Zero value,$5 - <$25 million,10,20,0,20
2000,42039.73265,$1 - <$5 million,Greater than $500 million,Greater than $500 million,1,2,4107885,2
2008,42039.73265,Zero value,Less than $250 thousand,Less than $250 thousand,4770,5543,0,5549
2012,42039.73265,Zero value,Less than $250 thousand,Deobligation,14,29,0,29
2004,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$5 - <$25 million,2,6,4401912,6
2012,42039.73265,Zero value,$5 - <$25 million,$1 - <$5 million,1,10,0,10
2013,42039.73265,Greater than $500 million,Greater than $500 million,$25 - <$100 million,2,101,1293997522,101
2006,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,45,167,25992745.04,176
2007,42039.73265,Zero value,NULL,$1 - <$5 million,2911,5075,0,NULL
2012,42039.73265,$1 - <$5 million,Zero value,Zero value,984,6215,2191401886,6528
2013,42039.73265,$100 - <$500 million,Zero value,Greater than $500 million,1,2,107286116,2
2005,42039.73265,$25 - <$100 million,$100 - <$500 million,Greater than $500 million,2,57,88707088.55,61
2007,42039.73265,Less than $250 thousand,$100 - <$500 million,$100 - <$500 million,58,144,7096310.92,149
1991,42039.73265,$1 - <$5 million,NULL,NULL,8826,48291,19148547724,NULL
2007,42039.73265,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,180,293,11226342.99,306
2006,42039.73265,$5 - <$25 million,$25 - <$100 million,$5 - <$25 million,1,16,12580591,16
2012,42039.73265,Deobligation,$25 - <$100 million,$25 - <$100 million,3,15,-13255832.77,15
2012,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,712,2682,367932458.9,2738
1996,42039.73265,$25 - <$100 million,NULL,NULL,554,19626,24634739269,19900
2011,42039.73265,$25 - <$100 million,$25 - <$100 million,$100 - <$500 million,41,312,2150834651,371
2001,42039.73265,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,3,10,8466617,10
2012,42039.73265,Deobligation,Zero value,Less than $250 thousand,1,1,-2518.44,1
2008,42039.73265,$1 - <$5 million,Zero value,$1 - <$5 million,1,3,1025051,3
2002,42039.73265,$250 thousand - <$1 million,Zero value,$250 thousand - <$1 million,1,7,633781,7
2004,42039.73265,Zero value,Zero value,Less than $250 thousand,4,5,0,5
2003,42039.73265,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,9,30,19894002,31
2014,42039.73265,Greater than $500 million,$25 - <$100 million,$5 - <$25 million,1,16,1415650477,16
2011,42039.73265,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,42,175,125254030.1,212
2012,42039.73265,$5 - <$25 million,Greater than $500 million,Greater than $500 million,4,36,41011358.01,36
2004,42039.73265,Zero value,Zero value,Deobligation,1,2,0,2
2005,42039.73265,Zero value,Zero value,$5 - <$25 million,1,1,0,1
2007,42039.73265,$5 - <$25 million,$5 - <$25 million,Zero value,32,255,313167189.3,260
2009,42039.73265,Less than $250 thousand,$100 - <$500 million,$100 - <$500 million,58,140,8257597.68,140
2005,42039.73265,$1 - <$5 million,$1 - <$5 million,Less than $250 thousand,3,8,7273056,8
2010,42039.73265,Zero value,Zero value,$1 - <$5 million,9,19,0,19
2008,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Less than $250 thousand,12,49,9281745.82,49
2010,42039.73265,Zero value,$1 - <$5 million,$1 - <$5 million,186,248,0,259
2006,42039.73265,$5 - <$25 million,Deobligation,Zero value,1,2,18150000,2
2013,42039.73265,Zero value,$250 thousand - <$1 million,Zero value,24,46,0,46
2009,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,35,291,279388383.2,294
2010,42039.73265,$5 - <$25 million,Zero value,Zero value,540,6200,5596013302,6673
2010,42039.73265,$250 thousand - <$1 million,Deobligation,Deobligation,278,1097,138338909.8,1097
2000,42039.73265,Less than $250 thousand,Less than $250 thousand,$250 thousand - <$1 million,2,2,137656.86,2
2005,42039.73265,$5 - <$25 million,$5 - <$25 million,Zero value,8,120,87957209.68,123
2010,42039.73265,Less than $250 thousand,Zero value,Deobligation,17,54,735451.16,54
2009,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,Deobligation,1,6,768777,6
2013,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,84,231,55274200.91,233
2011,42039.73265,Less than $250 thousand,$100 - <$500 million,$100 - <$500 million,44,70,6682392.6,71
2012,42039.73265,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,189,273,18184868.12,289
2013,42039.73265,$5 - <$25 million,$5 - <$25 million,Less than $250 thousand,68,584,658183918.9,696
2011,42039.73265,Deobligation,$250 thousand - <$1 million,$1 - <$5 million,1,5,-59161,5
2005,42039.73265,Less than $250 thousand,NULL,Less than $250 thousand,11,23,507436.18,NULL
2007,42039.73265,$1 - <$5 million,$5 - <$25 million,$100 - <$500 million,5,26,10290290.11,28
2010,42039.73265,Deobligation,$5 - <$25 million,Deobligation,1,7,-3120000,7
2011,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,51,198,8374430.8,205
2003,42039.73265,$1 - <$5 million,$25 - <$100 million,$25 - <$100 million,6,27,12815587.21,28
2005,42039.73265,Zero value,$100 - <$500 million,$100 - <$500 million,6,6,0,6
1990,42039.73265,$250 thousand - <$1 million,NULL,NULL,16978,39068,8348598569,NULL
2007,42039.73265,$1 - <$5 million,$25 - <$100 million,$100 - <$500 million,31,256,90497987.18,297
2013,42039.73265,Deobligation,Less than $250 thousand,Deobligation,22,70,-413894.2997,70
2014,42039.73265,Greater than $500 million,Greater than $500 million,Greater than $500 million,24,565,25799863277,621
2007,42039.73265,$1 - <$5 million,$1 - <$5 million,$25 - <$100 million,41,110,107140733.8,125
2007,42039.73265,Deobligation,$250 thousand - <$1 million,Deobligation,2,4,-157482,4
2003,42039.73265,Zero value,Zero value,$250 thousand - <$1 million,1485,1487,0,1487
2007,42039.73265,$250 thousand - <$1 million,Zero value,Deobligation,1,3,750563,3
2005,42039.73265,$100 - <$500 million,Zero value,$100 - <$500 million,3,15,657266840,21
2013,42039.73265,Deobligation,$5 - <$25 million,Deobligation,1,2,-2000,2
2007,42039.73265,$5 - <$25 million,$100 - <$500 million,$100 - <$500 million,31,230,357876404.5,245
2012,42039.73265,$5 - <$25 million,$5 - <$25 million,$25 - <$100 million,217,1012,2550414588,1085
2013,42039.73265,Zero value,Less than $250 thousand,Deobligation,11,21,0,21
2011,42039.73265,$1 - <$5 million,Less than $250 thousand,$1 - <$5 million,1,4,2540552,4
2002,42039.73265,Zero value,Zero value,Greater than $500 million,24,24,0,24
2008,42039.73265,$1 - <$5 million,$5 - <$25 million,$1 - <$5 million,8,78,25538622.06,78
2009,42039.73265,Less than $250 thousand,Less than $250 thousand,$100 - <$500 million,2,3,131291.5,3
2005,42039.73265,Zero value,NULL,$250 thousand - <$1 million,450,519,0,NULL
2008,42039.73265,Zero value,Deobligation,Deobligation,307,437,0,437
2014,42039.73265,Deobligation,$25 - <$100 million,$5 - <$25 million,1,1,-3094840.25,1
2008,42039.73265,Zero value,Greater than $500 million,Greater than $500 million,10,16,0,259
2006,42039.73265,Less than $250 thousand,NULL,Less than $250 thousand,2,9,221116,NULL
2006,42039.73265,$25 - <$100 million,$25 - <$100 million,$100 - <$500 million,8,59,407348812.5,65
2011,42039.73265,$5 - <$25 million,$25 - <$100 million,Zero value,12,172,252743161.1,282
2002,42039.73265,Greater than $500 million,Zero value,Zero value,26,868,25719345963,897
2009,42039.73265,$5 - <$25 million,Zero value,Zero value,812,9276,8500504745,9470
2008,42039.73265,Greater than $500 million,$25 - <$100 million,$25 - <$100 million,1,21,768870624.6,21
2014,42039.73265,Zero value,$1 - <$5 million,Zero value,11,19,0,19
2010,42039.73265,$250 thousand - <$1 million,Zero value,$1 - <$5 million,1,2,330690.72,2
2011,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,Less than $250 thousand,14,82,21006607.96,82
2007,42039.73265,Less than $250 thousand,$25 - <$100 million,$100 - <$500 million,1,1,35340,1
2008,42039.73265,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,6,6,366875.6,6
2003,42039.73265,Zero value,NULL,$100 - <$500 million,41,54,0,NULL
2012,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,27,144,11639136.67,145
2011,42039.73265,$1 - <$5 million,$100 - <$500 million,$100 - <$500 million,3,5,9399919,5
2004,42039.73265,Less than $250 thousand,$25 - <$100 million,$100 - <$500 million,2,2,50000,2
2009,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$250 thousand - <$1 million,3,7,1138993.92,7
2007,42039.73265,$1 - <$5 million,$1 - <$5 million,$100 - <$500 million,2,4,5038070,4
2013,42039.73265,$250 thousand - <$1 million,$25 - <$100 million,$25 - <$100 million,7,14,2967390.085,14
2011,42039.73265,Zero value,$5 - <$25 million,$100 - <$500 million,1,1,0,1
2010,42039.73265,$5 - <$25 million,$25 - <$100 million,$250 thousand - <$1 million,3,78,59326041.95,95
2013,42039.73265,$100 - <$500 million,$5 - <$25 million,$5 - <$25 million,6,79,857582626,103
2006,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,129801,148120,4205360230,153665
2014,42039.73265,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,25,275,1376008806,354
2008,42039.73265,Deobligation,Less than $250 thousand,Less than $250 thousand,173,437,-42090814.22,447
2006,42039.73265,$250 thousand - <$1 million,$25 - <$100 million,$100 - <$500 million,1,2,309500,2
2004,42039.73265,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,2,17,34131502,17
2005,42039.73265,$5 - <$25 million,$5 - <$25 million,Deobligation,1,7,16279674,7
2001,42039.73265,Zero value,Zero value,Less than $250 thousand,1,1,0,1
2004,42039.73265,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,11,12,1045535.67,12
2008,42039.73265,$25 - <$100 million,$250 thousand - <$1 million,Zero value,1,62,59722300.72,62
2012,42039.73265,Zero value,Zero value,Less than $250 thousand,384,580,0,580
2014,42039.73265,$5 - <$25 million,$1 - <$5 million,$250 thousand - <$1 million,3,30,23010077.04,30
2011,42039.73265,Zero value,$1 - <$5 million,Zero value,9,13,0,13
2014,42039.73265,Less than $250 thousand,$5 - <$25 million,Less than $250 thousand,1,3,200000,6
2011,42039.73265,$250 thousand - <$1 million,Deobligation,$250 thousand - <$1 million,2,17,1337803,17
2005,42039.73265,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,2,8,29646858.84,9
2008,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,138,809,278107888.8,828
2010,42039.73265,Deobligation,$250 thousand - <$1 million,Zero value,4,12,-299736.29,12
2014,42039.73265,$250 thousand - <$1 million,Zero value,Zero value,1596,4671,800007206.3,4783
2009,42039.73265,Greater than $500 million,Greater than $500 million,$100 - <$500 million,1,14,715019067,14
2006,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$250 thousand - <$1 million,1,3,496148,3
2005,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,16,47,7482354.95,47
2009,42039.73265,$100 - <$500 million,Greater than $500 million,Greater than $500 million,12,345,3390911259,361
2008,42039.73265,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,417,653,32266464.81,663
2013,42039.73265,Zero value,Zero value,$5 - <$25 million,6,13,0,13
2012,42039.73265,Greater than $500 million,Greater than $500 million,Deobligation,4,286,6329656137,286
2003,42039.73265,Zero value,NULL,Less than $250 thousand,785,794,0,NULL
2012,42039.73265,$100 - <$500 million,$5 - <$25 million,$25 - <$100 million,1,28,102993945.4,28
2003,42039.73265,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,1,1,124180,2
2006,42039.73265,$1 - <$5 million,Less than $250 thousand,$5 - <$25 million,3,14,5361136,14
2005,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$1 - <$5 million,3,11,3865330,11
2013,42039.73265,$5 - <$25 million,$1 - <$5 million,Less than $250 thousand,3,22,17086324.49,32
2009,42039.73265,Zero value,$250 thousand - <$1 million,$5 - <$25 million,4,4,0,4
2013,42039.73265,Zero value,$1 - <$5 million,$5 - <$25 million,25,41,0,41
2008,42039.73265,$100 - <$500 million,$100 - <$500 million,Less than $250 thousand,1,14,215998104,14
2007,42039.73265,$100 - <$500 million,$100 - <$500 million,$25 - <$100 million,1,26,428256311,26
2007,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$1 - <$5 million,1,2,271981.26,2
2011,42039.73265,Less than $250 thousand,$1 - <$5 million,Zero value,16,56,1654916.77,60
2005,42039.73265,Zero value,NULL,$25 - <$100 million,85,100,0,NULL
2006,42039.73265,Less than $250 thousand,Zero value,$5 - <$25 million,1,1,5000,1
2004,42039.73265,Zero value,NULL,Deobligation,3,6,0,NULL
1990,42039.73265,Deobligation,NULL,NULL,3829,5965,-2432820458,NULL
2013,42039.73265,$1 - <$5 million,$25 - <$100 million,$25 - <$100 million,23,55,69812917.75,55
2011,42039.73265,$1 - <$5 million,$5 - <$25 million,Deobligation,14,106,44464455.53,124
2010,42039.73265,$25 - <$100 million,Less than $250 thousand,Zero value,1,6,47903549,6
2013,42039.73265,Zero value,NULL,$250 thousand - <$1 million,1946,3180,0,NULL
2007,42039.73265,$250 thousand - <$1 million,Zero value,$250 thousand - <$1 million,4,15,2681318.85,15
2013,42039.73265,Less than $250 thousand,Deobligation,Less than $250 thousand,6,15,362766.1076,16
2003,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$1 - <$5 million,18,19,1987641.68,19
2011,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$250 thousand - <$1 million,2,10,981482.4,10
2009,42039.73265,$1 - <$5 million,Deobligation,Zero value,2,26,4850612.98,27
2009,42039.73265,$1 - <$5 million,$5 - <$25 million,Deobligation,8,54,26241849.68,55
2010,42039.73265,$5 - <$25 million,$1 - <$5 million,$25 - <$100 million,1,19,7382975.25,19
1988,42039.73265,Deobligation,NULL,NULL,10,14,-1541330,NULL
2013,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$250 thousand - <$1 million,1,7,807647.6251,7
2002,42039.73265,$1 - <$5 million,Zero value,$250 thousand - <$1 million,1,5,4061765,5
2011,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,107,253,67536314.49,263
2008,42039.73265,Deobligation,$100 - <$500 million,Zero value,1,3,-25000,3
2007,42039.73265,Deobligation,Less than $250 thousand,Zero value,1,3,-348629.94,3
2002,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,Zero value,1,13,928814,13
2012,42039.73265,Zero value,Zero value,$250 thousand - <$1 million,42,80,0,80
2013,42039.73265,$250 thousand - <$1 million,Deobligation,Deobligation,305,1199,149080023.4,1250
2009,42039.73265,$5 - <$25 million,$25 - <$100 million,Greater than $500 million,1,2,19393875,2
2013,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,175,1106,318857647.4,1122
2014,42039.73265,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,2,5,226715.9805,5
2010,42039.73265,$250 thousand - <$1 million,Deobligation,$5 - <$25 million,1,5,787235.61,5
2011,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,174,1250,347733572.1,1282
2000,42039.73265,$5 - <$25 million,Zero value,Zero value,2571,13529,26369466669,14420
1997,42039.73265,$250 thousand - <$1 million,NULL,NULL,16532,43660,8213273096,44301
2005,42039.73265,Zero value,Zero value,Less than $250 thousand,8,12,0,12
2009,42039.73265,Zero value,Zero value,$1 - <$5 million,13,33,0,34
1998,42039.73265,Greater than $500 million,NULL,NULL,15,172,15532088508,2325
2007,42039.73265,Zero value,Less than $250 thousand,Zero value,79,137,0,139
2008,42039.73265,$5 - <$25 million,$5 - <$25 million,Less than $250 thousand,19,99,199743376.4,102
2001,42039.73265,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,2,12,145309130,12
2012,42039.73265,Deobligation,Deobligation,$1 - <$5 million,5,18,-769759.84,18
2006,42039.73265,Less than $250 thousand,$5 - <$25 million,Zero value,1,3,68000,3
2005,42039.73265,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,451,804,939433815.6,1815
2014,42039.73265,$250 thousand - <$1 million,Greater than $500 million,Greater than $500 million,3,26,2378910.556,26
2010,42039.73265,Deobligation,$25 - <$100 million,Less than $250 thousand,1,32,-59573.94,32
2004,42039.73265,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,10,19,867831.29,19
2011,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,31,187,21882258.79,189
2012,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,29,182,22482229.52,191
2008,42039.73265,Zero value,$1 - <$5 million,$5 - <$25 million,48,68,0,71
2006,42039.73265,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,3496,5301,7435384492,14475
2010,42039.73265,Less than $250 thousand,Less than $250 thousand,Deobligation,2593,6660,143606657.8,6687
2008,42039.73265,$5 - <$25 million,$1 - <$5 million,Zero value,7,115,53628598.28,115
2005,42039.73265,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,1,3,8817382,3
2008,42039.73265,Greater than $500 million,Greater than $500 million,$100 - <$500 million,1,24,521596539.7,24
2012,42039.73265,Deobligation,$250 thousand - <$1 million,Deobligation,5,21,-437755.43,21
2011,42039.73265,$100 - <$500 million,$250 thousand - <$1 million,$250 thousand - <$1 million,1,4,118650192.9,4
2011,42039.73265,$25 - <$100 million,Deobligation,$1 - <$5 million,1,15,42467738,15
2014,42039.73265,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,39,170,29159482.38,173
2004,42039.73265,Deobligation,Deobligation,Less than $250 thousand,1,1,-500,1
1995,42039.73265,$1 - <$5 million,NULL,NULL,8601,53318,18692453898,54217
2013,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,Zero value,6,35,3627967.863,42
2012,42039.73265,Zero value,Less than $250 thousand,$1 - <$5 million,14,16,0,16
2009,42039.73265,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,896,7041,40268760585,11035
2008,42039.73265,$100 - <$500 million,Greater than $500 million,Greater than $500 million,13,269,3998162007,4329
NULL,42039.73265,$250 thousand - <$1 million,Zero value,Zero value,1,1,259871,1
1989,42039.73265,Deobligation,NULL,NULL,110,135,-23624029,NULL
2006,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$1 - <$5 million,15,46,7843749,46
2006,42039.73265,Less than $250 thousand,$1 - <$5 million,$250 thousand - <$1 million,1,3,1304,3
