SubCustomer,ServicesCategory,VendorSize,SumOfobligatedAmount,SumOfnumberOfActions,Legacy
Air Force,ERS,Large (Small Subsidiary),91606,3,Professional Service
Air Force,ERS,Large: Big 6 (Small Subsidiary),548482,4,Professional Service
Air Force,ERS,Medium <1B,652322756,1662,Professional Service
Air Force,ICT,Large: Big 6,64938007,63,Professional Service
Air Force,Products,Large,8106794732,4435,Professional Service
Air Force,Products,Medium >1B,73117726,139,Professional Service
Air Force,Products,Small,949931345,5707,Professional Service
Air Force,Products,Unlabeled,2697797546,2538,Professional Service
Army,ERS,Large: Big 6,158884117,91,Professional Service
Army,FRS&C,Large: Big 6,1209123,2,Other Service
Army,ICT,Medium >1B,6598637,57,Professional Service
Army,MED,Small,72045674,595,Other Service
Army,PAMS,Large (Small Subsidiary),25511074,112,Professional Service
Army,PAMS,Large: Big 6 (Small Subsidiary),24353599,119,Professional Service
Army,PAMS,Medium <1B,1837430035,8580,Professional Service
Army,Products,Large (Small Subsidiary),15906589,208,Professional Service
Army,Products,Large: Big 6 (Small Subsidiary),11084113,60,Professional Service
Army,Products,Medium <1B,3136303950,11267,Professional Service
DLA,Fuel,Large,1213619839,39,Professional Service
Navy,ERS,Large: Big 6,895122344,736,Professional Service
Navy,FRS&C,Medium >1B (Small Subsidiary),35207912,49,Professional Service
Navy,Fuel,Large,1315382,6,Professional Service
Navy,PAMS,Large: Big 6 (Small Subsidiary),21000868,57,Professional Service
Navy,Products,Small,891727707,5463,Professional Service
Navy,R&D,Large,1339349171,1141,Professional Service
Navy,R&D,Medium >1B,79638900,330,Professional Service
Navy,R&D,Medium >1B (Small Subsidiary),1354278,8,Professional Service
Other DoD,ERS,Small,3567324,32,Professional Service
Other DoD,FRS&C,Small,29073617,134,Professional Service
Other DoD,R&D,Large: Big 6 (Small Subsidiary),9971820,24,Professional Service
Other DoD,R&D,Medium <1B,191954110,303,Professional Service
Air Force,FRS&C,Large: Big 6,178397403,141,Professional Service
Air Force,FRS&C,Large: Big 6 (Small Subsidiary),466637,3,Professional Service
Air Force,FRS&C,Medium <1B,1193892098,3907,Professional Service
Air Force,ICT,Medium >1B (Small Subsidiary),1543908,6,Professional Service
Air Force,PAMS,Large (Small Subsidiary),29772694,121,Professional Service
Air Force,R&D,Large: Big 6,5481149925,1539,Professional Service
Army,FRS&C,Medium >1B,166858095,291,Professional Service
Army,FRS&C,Medium >1B (Small Subsidiary),12597789,21,Professional Service
Army,MED,Large (Small Subsidiary),27720,1,Professional Service
Army,MED,Medium <1B,6863111,62,Professional Service
Army,R&D,Large,636429402,1168,Professional Service
Army,R&D,Large: Big 6 JV,212828368,22,Professional Service
Army,R&D,Medium >1B,717881678,412,Professional Service
Army,R&D,Small,708753064,2280,Professional Service
Army,R&D,Unlabeled,328173,1,Professional Service
DLA,FRS&C,Medium >1B,3735238,15,Professional Service
DLA,FRS&C,Medium >1B (Small Subsidiary),2770950,5,Professional Service
DLA,R&D,Large,6793405,41,Professional Service
DLA,R&D,Medium >1B,251269,3,Professional Service
DLA,R&D,Small,1047404,6,Professional Service
MilitaryHealth,MED,Small,3061333,2,Other Service
MilitaryHealth,Products,Medium <1B,857693,6,Professional Service
Navy,ERS,Large (Small Subsidiary),38909885,166,Professional Service
Navy,ERS,Large: Big 6 (Small Subsidiary),12352882,48,Professional Service
Navy,ERS,Medium <1B,1163379248,2162,Professional Service
Navy,FRS&C,Large,667001778,665,Professional Service
Navy,FRS&C,Large (Small Subsidiary),6478232,28,Other Service
Navy,FRS&C,Medium <1B,913548549,1492,Other Service
Navy,FRS&C,Small,1037720580,4513,Professional Service
Navy,R&D,Small,523506498,3032,Professional Service
Other DoD,ERS,Large,24808046,35,Professional Service
Other DoD,FRS&C,Large,650440,8,Other Service
Other DoD,FRS&C,Large: Big 6,9295520,6,Professional Service
Other DoD,FRS&C,Medium >1B,15788628,6,Other Service
Other DoD,ICT,Large,926051660,2098,Professional Service
Other DoD,MED,Medium <1B,28000,1,Other Service
Other DoD,MED,Small,112110,1,Professional Service
Other DoD,R&D,Medium >1B,23491004,62,Professional Service
Air Force,ERS,Large,616523511,938,Professional Service
Air Force,ERS,Unlabeled,219000,1,Professional Service
Air Force,FRS&C,Large,834417,2,Other Service
Air Force,FRS&C,Small,73438586,223,Other Service
Air Force,Fuel,Medium <1B,67369829,222,Professional Service
Air Force,ICT,Large (Small Subsidiary),7247413,49,Professional Service
Air Force,ICT,Large: Big 6 (Small Subsidiary),310463,3,Professional Service
Air Force,ICT,Medium <1B,246853278,869,Professional Service
Air Force,Products,Medium >1B (Small Subsidiary),23574375,100,Professional Service
Army,ERS,Large (Small Subsidiary),11116932,15,Professional Service
Army,ERS,Large: Big 6 (Small Subsidiary),205941,4,Professional Service
Army,ERS,Medium <1B,570313997,1466,Professional Service
Army,FRS&C,Large: Big 6 (Small Subsidiary),3259984,13,Professional Service
Air Force,Products,Large (Small Subsidiary),2335966,NULL,Professional Service
Air Force,Products,Medium <1B,2388133732,NULL,Professional Service
Air Force,R&D,Medium >1B,885917629,NULL,Professional Service
Army,ERS,Medium >1B,1458246,NULL,Professional Service
Army,FRS&C,Large,74431372,NULL,Other Service
Army,FRS&C,Large,523602249,NULL,Professional Service
Army,ICT,Small,187314499,NULL,Professional Service
DLA,FRS&C,Large,6481148,NULL,Professional Service
DLA,FRS&C,Medium >1B (Small Subsidiary),118550,NULL,Professional Service
DLA,FRS&C,Small,7694053,NULL,Other Service
DLA,ICT,Small,20094713,NULL,Professional Service
Navy,ERS,Small,941007861,NULL,Professional Service
Navy,FRS&C,Large (Small Subsidiary),249811,NULL,Professional Service
Navy,FRS&C,Medium <1B,800074916,NULL,Professional Service
Navy,Fuel,Medium <1B,4384495,1,Professional Service
Navy,ICT,Large: Big 6,5900138,NULL,Professional Service
Navy,PAMS,Large,1230737652,1,Professional Service
Navy,Products,Large,13269839677,8,Professional Service
Other DoD,ERS,Large,2412793,NULL,Professional Service
Other DoD,ICT,Medium <1B,601381536,NULL,Professional Service
Other DoD,ICT,Small,243582398,NULL,Professional Service
Other DoD,Products,Large: Big 6,328110,NULL,Professional Service
Other DoD,Products,Large: Big 6 (Small Subsidiary),54722,NULL,Professional Service
Other DoD,Products,Medium <1B,205827503,NULL,Professional Service
Other DoD,R&D,Medium >1B,14033944,NULL,Professional Service
Air Force,ERS,Large (Small Subsidiary),88645,NULL,Professional Service
Air Force,ERS,Medium <1B,754334653,NULL,Professional Service
Air Force,FRS&C,Small,69278431,NULL,Other Service
Air Force,PAMS,Medium >1B (Small Subsidiary),1606653,NULL,Professional Service
Air Force,R&D,Large (Small Subsidiary),16110852,NULL,Professional Service
Air Force,R&D,Large: Big 6 (Small Subsidiary),200000,NULL,Professional Service
Air Force,R&D,Medium <1B,1615287301,NULL,Professional Service
Army,FRS&C,Large: Big 6,5348358,NULL,Professional Service
Army,ICT,Large,435978938,NULL,Professional Service
Army,ICT,Medium >1B (Small Subsidiary),238570,NULL,Professional Service
Army,MED,Large,397802,NULL,Other Service
Army,PAMS,Small,575430329,NULL,Professional Service
Army,Products,Large,5528333426,NULL,Professional Service
Army,Products,Small,1311733859,NULL,Professional Service
DLA,FRS&C,Medium <1B,109780167,NULL,Professional Service
DLA,Products,Small,1286641460,NULL,Professional Service
Navy,ERS,Large,1114293786,85,Professional Service
Navy,ERS,Medium >1B (Small Subsidiary),357117,NULL,Professional Service
Navy,FRS&C,Medium >1B,875712,1,Other Service
Navy,Fuel,Small,675554,NULL,Professional Service
Navy,ICT,Large (Small Subsidiary),16819482,1,Professional Service
Navy,ICT,Large: Big 6 (Small Subsidiary),-130000,NULL,Professional Service
Navy,ICT,Medium <1B,339005502,53,Professional Service
Navy,MED,Medium <1B,69788877,2,Other Service
Navy,MED,Medium <1B,4242520,2,Professional Service
Navy,MED,Small,2721194,1,Professional Service
Navy,PAMS,Large: Big 6,262678471,8,Professional Service
Navy,PAMS,Medium <1B,2025161773,182,Professional Service
Navy,Products,Large: Big 6,1180469055,13,Professional Service
Navy,R&D,Large: Big 6 JV,550000000,NULL,Professional Service
Other DoD,ERS,Medium <1B,45772462,NULL,Professional Service
Other DoD,MED,Large,276349361,NULL,Professional Service
Other DoD,MED,Small,128994,NULL,Other Service
Other DoD,PAMS,Large,57117905,NULL,Professional Service
Other DoD,PAMS,Small,56059523,NULL,Professional Service
Other DoD,Products,Large (Small Subsidiary),246506,NULL,Professional Service
Other DoD,Products,Small,123861118,NULL,Professional Service
Air Force,FRS&C,Large: Big 6,80972,1,Other Service
Air Force,FRS&C,Medium >1B,185540890,134,Professional Service
Air Force,Fuel,Medium >1B,379389,1,Professional Service
Air Force,ICT,Medium >1B,1421088,19,Professional Service
Air Force,MED,Medium <1B,2531527,10,Professional Service
Other DoD,Products,Medium <1B,297234332,1361,Professional Service
Other DoD,R&D,Medium >1B,9045290,18,Professional Service
Air Force,ERS,Large: Big 6,907700718,688,Professional Service
Air Force,FRS&C,Large,51338113,16,Other Service
Air Force,FRS&C,Small,78728514,263,Other Service
Air Force,PAMS,Large (Small Subsidiary),6958472,24,Professional Service
Air Force,PAMS,Large: Big 6 (Small Subsidiary),5911416,15,Professional Service
Air Force,PAMS,Medium <1B,1189147786,3482,Professional Service
Air Force,PAMS,Small,731104535,3382,Professional Service
Air Force,R&D,Large (Small Subsidiary),222299,3,Professional Service
Air Force,R&D,Large: Big 6 (Small Subsidiary),1295462,11,Professional Service
Air Force,R&D,Medium <1B,1385264128,2370,Professional Service
Army,FRS&C,Large,134293300,423,Other Service
Army,FRS&C,Large,679434398,1108,Professional Service
Army,FRS&C,Medium >1B (Small Subsidiary),83021,1,Professional Service
Army,Fuel,Large: Big 6,54784,1,Professional Service
Army,ICT,Small,499778502,2178,Professional Service
Army,PAMS,Large,1268273775,1722,Professional Service
Army,PAMS,Small,807068502,5386,Professional Service
DLA,ERS,Small,1924807,21,Professional Service
DLA,FRS&C,Large,-808727,7,Professional Service
DLA,Fuel,Large: Big 6,598931,1,Professional Service
DLA,ICT,Small,23364863,111,Professional Service
DLA,PAMS,Large,30879188,174,Professional Service
MDA,ICT,Small,44236,1,Professional Service
MDA,R&D,Large (Small Subsidiary),1058000,1,Professional Service
MilitaryHealth,MED,Large,638693743,36,Other Service
MilitaryHealth,Products,Large,31000,1,Professional Service
Navy,ERS,Large,994292092,710,Professional Service
Navy,ERS,Medium >1B (Small Subsidiary),11852634,69,Professional Service
Navy,FRS&C,Large (Small Subsidiary),9287245,15,Professional Service
Navy,FRS&C,Large: Big 6 (Small Subsidiary),3435740,4,Professional Service
Navy,FRS&C,Medium <1B,1269198114,3774,Professional Service
Navy,ICT,Large: Big 6,79455582,403,Professional Service
Navy,PAMS,Large: Big 6,539194461,463,Professional Service
Navy,PAMS,Medium <1B,2255967601,8689,Professional Service
Navy,Products,Large,6759161170,5706,Professional Service
Navy,Products,Unlabeled,323588,3,Professional Service
Other DoD,ERS,Large: Big 6,115067385,12,Professional Service
Other DoD,ERS,Medium <1B,20508116,52,Professional Service
Other DoD,ICT,Large (Small Subsidiary),8535240,4,Professional Service
Other DoD,ICT,Large: Big 6 (Small Subsidiary),491580,2,Professional Service
Other DoD,ICT,Medium <1B,657721773,1862,Professional Service
Other DoD,ICT,Small,212956768,742,Professional Service
Other DoD,MED,Small,91346,1,Professional Service
Other DoD,PAMS,Large,69958317,257,Professional Service
Other DoD,Products,Large: Big 6,8474356,40,Professional Service
Other DoD,Products,Large: Big 6 (Small Subsidiary),386735,4,Professional Service
Other DoD,Products,Medium <1B,367709456,1536,Professional Service
Other DoD,R&D,Medium >1B,4651521,13,Professional Service
Air Force,FRS&C,Small,116787570,227,Other Service
Air Force,Fuel,Medium >1B,25652129,4,Professional Service
Air Force,R&D,Large (Small Subsidiary),30411825,98,Professional Service
Air Force,R&D,Large: Big 6 (Small Subsidiary),4946844,21,Professional Service
Air Force,R&D,Medium <1B,668393095,1713,Professional Service
Army,FRS&C,Medium >1B,368510247,122,Other Service
Army,FRS&C,Medium >1B,177580832,280,Professional Service
Army,ICT,Large (Small Subsidiary),47998157,225,Professional Service
Army,ICT,Large: Big 6 (Small Subsidiary),6840779,34,Professional Service
Army,ICT,Medium <1B,359189149,1229,Professional Service
Army,MED,Large: Big 6 (Small Subsidiary),25828,1,Professional Service
Army,MED,Medium <1B,3288981,42,Professional Service
Army,PAMS,Small,746379327,5301,Professional Service
Other DoD,ERS,Large,4624796,11,Professional Service
Other DoD,FRS&C,Medium <1B,3960329,2,Other Service
Other DoD,ICT,Medium >1B,3291661,39,Professional Service
Other DoD,ICT,Medium >1B (Small Subsidiary),8136147,23,Professional Service
Other DoD,MED,Small,27500,1,Other Service
Other DoD,Products,Large (Small Subsidiary),7605241,73,Professional Service
Air Force,ERS,Large (Small Subsidiary),14508381,68,Professional Service
Air Force,ERS,Large: Big 6 (Small Subsidiary),693253,4,Professional Service
Air Force,ERS,Medium <1B,388434172,1148,Professional Service
Air Force,FRS&C,Large: Big 6 JV,39319364,19,Professional Service
Air Force,ICT,Large,363448928,1097,Professional Service
Air Force,ICT,Medium >1B,11795693,38,Professional Service
Air Force,MED,Small,6853137,87,Other Service
Air Force,Products,Large (Small Subsidiary),51409132,140,Professional Service
Air Force,Products,Large: Big 6 (Small Subsidiary),8740788,45,Professional Service
Air Force,Products,Medium <1B,1254983185,5815,Professional Service
Army,ERS,Large,365222821,444,Professional Service
Army,ERS,Small,152408203,1172,Professional Service
Army,FRS&C,Large: Big 6,183423613,111,Other Service
Army,Fuel,Medium <1B,6438165,35,Professional Service
Army,Products,Large (Small Subsidiary),105504360,416,Professional Service
Army,Products,Small,1312257081,6754,Professional Service
Army,R&D,Medium >1B (Small Subsidiary),22462609,59,Professional Service
DLA,ERS,Large,43623573,111,Professional Service
DLA,Fuel,Large (Small Subsidiary),98769154,4,Professional Service
DLA,Fuel,Medium <1B,982310559,182,Professional Service
DLA,ICT,Medium >1B,592230,7,Professional Service
DLA,Products,Large (Small Subsidiary),5147352,74,Professional Service
DLA,Products,Large: Big 6 (Small Subsidiary),2205499,31,Professional Service
DLA,Products,Medium <1B,1508059934,11378,Professional Service
DLA,Products,Small,1472189213,14182,Professional Service
MDA,Products,Medium <1B,421312,5,Professional Service
MDA,Products,Small,251240,1,Professional Service
MDA,R&D,Large,174553696,126,Professional Service
MilitaryHealth,PAMS,Large,22731960,5,Professional Service
MilitaryHealth,PAMS,Small,256543,15,Professional Service
Navy,ERS,Large: Big 6,691318990,613,Professional Service
Navy,PAMS,Large (Small Subsidiary),163199681,617,Professional Service
Navy,PAMS,Large: Big 6 (Small Subsidiary),20126286,74,Professional Service
Navy,Products,Large: Big 6,8696043281,3135,Professional Service
Navy,R&D,Large (Small Subsidiary),54522410,331,Professional Service
Navy,R&D,Large: Big 6 (Small Subsidiary),53414013,79,Professional Service
Navy,R&D,Medium <1B,562447556,1991,Professional Service
Other DoD,ERS,Medium >1B,129079,2,Professional Service
Other DoD,Products,Small,111095012,707,Professional Service
Other DoD,R&D,Medium >1B (Small Subsidiary),13091798,55,Professional Service
Air Force,ERS,Small,152495202,965,Professional Service
Air Force,FRS&C,Medium >1B,113783234,86,Professional Service
Air Force,FRS&C,Medium >1B (Small Subsidiary),21086348,56,Professional Service
Air Force,MED,Medium <1B,1526591,16,Professional Service
Air Force,PAMS,Large,1490535128,2216,Professional Service
Air Force,PAMS,Medium >1B,320311526,458,Professional Service
Air Force,PAMS,Medium >1B (Small Subsidiary),15710498,55,Professional Service
Air Force,R&D,Large,1034780690,1037,Professional Service
Air Force,R&D,Medium >1B,1028400599,203,Professional Service
Air Force,R&D,Medium >1B (Small Subsidiary),12891233,30,Professional Service
Air Force,R&D,Small,478609843,1882,Professional Service
Army,FRS&C,Large: Big 6,112051712,277,Professional Service
Army,FRS&C,Medium >1B (Small Subsidiary),544118,3,Other Service
Army,Fuel,Small,3805651,22,Professional Service
Army,ICT,Large,365624985,1195,Professional Service
Army,MED,Large (Small Subsidiary),103439,3,Other Service
Air Force,R&D,Large,6584094557,2486,Professional Service
Air Force,R&D,Medium >1B (Small Subsidiary),18492458,28,Professional Service
Army,ERS,Large,229610461,316,Professional Service
Army,ERS,Small,103543343,855,Professional Service
Army,Fuel,Medium <1B,1389775,36,Professional Service
Army,Fuel,Small,557366,14,Professional Service
Army,ICT,Large (Small Subsidiary),451032,2,Professional Service
Army,ICT,Large: Big 6,185877236,52,Professional Service
Army,ICT,Medium <1B,363010183,1496,Professional Service
Army,PAMS,Large: Big 6,323756294,124,Professional Service
Army,Products,Large: Big 6,681801475,292,Professional Service
Army,Products,Medium >1B (Small Subsidiary),319921,4,Professional Service
DLA,ERS,Large,996050,5,Professional Service
DLA,Fuel,Large (Small Subsidiary),42319283,6,Professional Service
DLA,Fuel,Medium <1B,1885830337,339,Professional Service
DLA,Fuel,Small,921431147,621,Professional Service
DLA,ICT,Medium <1B,1462166,22,Professional Service
DLA,Products,Large: Big 6,7432256,79,Professional Service
DLA,Products,Medium >1B (Small Subsidiary),71272,1,Professional Service
MilitaryHealth,ERS,Large,-73898,1,Professional Service
Navy,ERS,Large: Big 6,320110922,266,Professional Service
Navy,PAMS,Large (Small Subsidiary),2790818,23,Professional Service
Navy,Products,Large (Small Subsidiary),38237140,27,Professional Service
Navy,R&D,Large: Big 6,443153789,182,Professional Service
Other DoD,FRS&C,Medium >1B,20534575,22,Professional Service
Other DoD,PAMS,Large: Big 6,79402797,10,Professional Service
Other DoD,R&D,Small,118039756,303,Professional Service
Air Force,FRS&C,Large (Small Subsidiary),123500,1,Professional Service
Air Force,FRS&C,Medium <1B,109464861,121,Other Service
Air Force,FRS&C,Small,1418064871,6286,Professional Service
Air Force,PAMS,Medium >1B,212512488,341,Professional Service
Air Force,Products,Large: Big 6 JV,9481042,2,Professional Service
Air Force,Products,Medium >1B,101205489,180,Professional Service
Army,ERS,Large: Big 6,163815103,75,Professional Service
Army,MED,Large (Small Subsidiary),36005,1,Other Service
Army,MED,Medium <1B,111744772,304,Other Service
Army,MED,Small,51209924,398,Other Service
Army,MED,Small,5959440,63,Professional Service
Army,PAMS,Large (Small Subsidiary),2739697,26,Professional Service
Army,PAMS,Large: Big 6 (Small Subsidiary),35967,1,Professional Service
Army,PAMS,Medium <1B,1938937160,8684,Professional Service
Army,Products,Large (Small Subsidiary),13257143,49,Professional Service
Army,Products,Medium <1B,2818040258,9500,Professional Service
Army,R&D,Medium >1B,486252868,148,Professional Service
DLA,Fuel,Medium >1B (Small Subsidiary),17594648,14,Professional Service
DLA,MED,Small,321515,3,Other Service
DLA,MED,Small,29129,1,Professional Service
DLA,PAMS,Medium <1B,20038831,118,Professional Service
DLA,PAMS,Small,5499608,43,Professional Service
DLA,Products,Large (Small Subsidiary),1486678,17,Professional Service
DLA,Products,Large: Big 6 (Small Subsidiary),60970,1,Professional Service
DLA,Products,Medium <1B,1374736532,9502,Professional Service
MilitaryHealth,ICT,Medium >1B,170088,1,Professional Service
MilitaryHealth,MED,Large,1022069713,35,Professional Service
Navy,FRS&C,Large,172188124,44,Other Service
Navy,FRS&C,Medium >1B,5127742,30,Professional Service
Navy,PAMS,Medium >1B (Small Subsidiary),25578025,127,Professional Service
Navy,R&D,Large (Small Subsidiary),21536197,26,Professional Service
Navy,R&D,Large: Big 6 (Small Subsidiary),488414,3,Professional Service
Navy,R&D,Medium <1B,1677753870,3303,Professional Service
Navy,R&D,Small,661522484,3511,Professional Service
Other DoD,ICT,Medium >1B,2723432,27,Professional Service
Other DoD,R&D,Large,308241037,269,Professional Service
Other DoD,R&D,Medium >1B (Small Subsidiary),3686766,8,Professional Service
Army,ERS,Medium <1B,343029332,1154,Professional Service
Army,ICT,Small,270789511,1359,Professional Service
Army,MED,Small,17039869,158,Other Service
Army,PAMS,Large,501344492,700,Professional Service
Army,PAMS,Medium >1B (Small Subsidiary),248000,1,Professional Service
Army,PAMS,Small,433244415,3647,Professional Service
Army,R&D,Medium >1B,139982166,60,Professional Service
DLA,ERS,Medium <1B,1850092,17,Professional Service
DLA,ERS,Small,777503,15,Professional Service
DLA,FRS&C,Medium >1B (Small Subsidiary),39567,1,Professional Service
DLA,Fuel,Large: Big 6,314780,2,Professional Service
DLA,ICT,Large,3106800,14,Professional Service
DLA,ICT,Small,2369482,13,Professional Service
DLA,PAMS,Large,17279497,111,Professional Service
MilitaryHealth,PAMS,Medium <1B,354293763,58,Professional Service
Navy,ERS,Medium >1B (Small Subsidiary),1241503,7,Professional Service
Navy,PAMS,Medium <1B,2313393920,9460,Professional Service
Navy,Products,Large,10187392620,6468,Professional Service
Navy,Products,Medium >1B (Small Subsidiary),9123020,13,Professional Service
Other DoD,FRS&C,Medium >1B,60076,1,Other Service
Other DoD,MED,Medium <1B,13356202,15,Other Service
Other DoD,Products,Large: Big 6,364400596,46,Professional Service
Other DoD,Products,Medium <1B,793288225,4105,Professional Service
Other DoD,R&D,Large,275738156,238,Professional Service
Other DoD,R&D,Medium >1B,74152104,25,Professional Service
Air Force,FRS&C,Large,6482489,11,Other Service
Air Force,FRS&C,Large,519707431,554,Professional Service
Air Force,FRS&C,Small,77419668,286,Other Service
Air Force,Fuel,Medium >1B,18616660,2,Professional Service
Air Force,R&D,Large (Small Subsidiary),750549,7,Professional Service
Air Force,R&D,Medium <1B,1081805722,2373,Professional Service
Army,ERS,Large (Small Subsidiary),73826,2,Professional Service
Army,ERS,Medium <1B,355575024,1308,Professional Service
Army,FRS&C,Medium >1B,86672129,93,Other Service
Army,FRS&C,Medium >1B,236099208,199,Professional Service
Army,MED,Medium <1B,3648753,56,Professional Service
Army,PAMS,Large,838727715,1239,Professional Service
Army,PAMS,Small,763667293,5194,Professional Service
Army,R&D,Large,1962004842,1362,Professional Service
Army,R&D,Small,765713991,3013,Professional Service
DLA,ERS,Medium <1B,1040714,15,Professional Service
DLA,ERS,Small,1671367,21,Professional Service
DLA,FRS&C,Medium >1B,15120742,30,Professional Service
DLA,Fuel,Large: Big 6,1406434,3,Professional Service
DLA,MED,Medium <1B,699234,13,Other Service
DLA,PAMS,Large,23344953,96,Professional Service
DLA,Products,Medium >1B (Small Subsidiary),189682,2,Professional Service
DLA,R&D,Large,198194,1,Professional Service
DLA,R&D,Small,400000,11,Professional Service
MDA,ICT,Medium <1B,538465,5,Professional Service
Navy,ERS,Medium >1B (Small Subsidiary),5909927,52,Professional Service
Navy,FRS&C,Large (Small Subsidiary),47844,1,Other Service
Navy,FRS&C,Medium <1B,705133399,1101,Other Service
Navy,FRS&C,Small,378377519,829,Other Service
Navy,FRS&C,Small,1352281437,5016,Professional Service
Navy,PAMS,Medium <1B,2299582026,8947,Professional Service
Navy,Products,Medium >1B,3256987269,547,Professional Service
Navy,R&D,Large: Big 6,503559685,244,Professional Service
Other DoD,ERS,Medium <1B,11630089,48,Professional Service
Other DoD,FRS&C,Large,25590482,2,Other Service
Other DoD,PAMS,Large,84720766,210,Professional Service
Other DoD,R&D,Large (Small Subsidiary),98861,1,Professional Service
Air Force,FRS&C,Large (Small Subsidiary),3691115,24,Professional Service
Air Force,Fuel,Medium >1B,19311373,3,Professional Service
Air Force,ICT,Large (Small Subsidiary),521465,6,Professional Service
Air Force,ICT,Large: Big 6 (Small Subsidiary),270431,5,Professional Service
DLA,Fuel,Medium >1B,113443436,9,Professional Service
DLA,Fuel,Medium >1B (Small Subsidiary),23311633,17,Professional Service
DLA,ICT,Large,11828741,87,Professional Service
DLA,ICT,Medium >1B,138965,3,Professional Service
DLA,MED,Small,402795,3,Other Service
DLA,PAMS,Medium <1B,37388469,224,Professional Service
DLA,Products,Large (Small Subsidiary),1682806,30,Professional Service
DLA,Products,Large: Big 6 (Small Subsidiary),37438,1,Professional Service
DLA,Products,Medium <1B,1372560164,11586,Professional Service
MDA,R&D,Large: Big 6,44443174,7,Professional Service
MDA,R&D,Medium <1B,88507212,113,Professional Service
MilitaryHealth,ICT,Large,41617,2,Professional Service
MilitaryHealth,MED,Large,97414747,8,Professional Service
MilitaryHealth,MED,Medium <1B,299322811,195,Other Service
MilitaryHealth,PAMS,Medium <1B,2587681,9,Professional Service
Navy,Fuel,Small,280483,5,Professional Service
Navy,PAMS,Medium >1B,183937306,258,Professional Service
Navy,PAMS,Medium >1B (Small Subsidiary),10796579,21,Professional Service
Navy,Products,Medium >1B (Small Subsidiary),27347607,19,Professional Service
Navy,R&D,Large (Small Subsidiary),33000493,195,Professional Service
Navy,R&D,Large: Big 6 (Small Subsidiary),25575083,30,Professional Service
Navy,R&D,Medium <1B,1273158144,3137,Professional Service
Other DoD,PAMS,Medium <1B,65160769,445,Professional Service
Other DoD,PAMS,Small,54548080,269,Professional Service
Other DoD,Products,Small,136905669,928,Professional Service
Other DoD,R&D,Large,118592547,237,Professional Service
Other DoD,R&D,Medium >1B (Small Subsidiary),3837040,9,Professional Service
Air Force,FRS&C,Large,467424972,440,Professional Service
Air Force,FRS&C,Medium >1B,47263116,109,Professional Service
Air Force,FRS&C,Medium >1B (Small Subsidiary),6433438,13,Professional Service
Air Force,FRS&C,Unlabeled,9568797,6,Professional Service
Air Force,MED,Medium <1B,665075,12,Professional Service
Air Force,PAMS,Large: Big 6,994912495,1285,Professional Service
Air Force,Products,Large: Big 6,7545762843,3768,Professional Service
Air Force,R&D,Large,1209705506,1100,Professional Service
Air Force,R&D,Small,448801414,1930,Professional Service
Army,FRS&C,Large (Small Subsidiary),9959268,19,Other Service
Army,FRS&C,Medium <1B,2324104094,3885,Other Service
Army,FRS&C,Small,1670938291,8570,Professional Service
Army,ICT,Large: Big 6,215583861,278,Professional Service
Army,MED,Medium >1B,2118879,9,Other Service
Army,PAMS,Large,1249482730,2095,Professional Service
Army,PAMS,Large: Big 6 JV,20923339,14,Professional Service
Army,PAMS,Medium >1B,296189701,759,Professional Service
Army,PAMS,Medium >1B (Small Subsidiary),9234412,27,Professional Service
Army,Products,Large: Big 6 JV,515452476,23,Professional Service
Army,Products,Unlabeled,48208773,92,Professional Service
DLA,ERS,Small,2870743,30,Professional Service
DLA,FRS&C,Medium <1B,900500,4,Other Service
DLA,FRS&C,Small,36142304,267,Professional Service
DLA,PAMS,Large,47646713,225,Professional Service
DLA,PAMS,Medium >1B,900982,6,Professional Service
MilitaryHealth,ERS,Large,1438722,4,Professional Service
MilitaryHealth,ICT,Medium <1B,-154294,2,Professional Service
Navy,FRS&C,Large: Big 6,-267175,1,Other Service
Navy,ICT,Large,295186047,919,Professional Service
Navy,ICT,Medium >1B,16286104,114,Professional Service
Navy,ICT,Medium >1B (Small Subsidiary),34356654,239,Professional Service
Navy,ICT,Unlabeled,-40876,1,Professional Service
Navy,MED,Large,1423586,2,Other Service
Navy,MED,Small,25989624,277,Other Service
Navy,PAMS,Small,1289999377,6621,Professional Service
Navy,Products,Large (Small Subsidiary),38957226,179,Professional Service
Navy,Products,Large: Big 6 (Small Subsidiary),35692811,76,Professional Service
Air Force,FRS&C,Large: Big 6,22590360,19,Professional Service
Air Force,FRS&C,Medium <1B,1617381161,4454,Professional Service
Air Force,Fuel,Small,3593279,28,Professional Service
Air Force,ICT,Medium >1B (Small Subsidiary),2830639,3,Professional Service
Air Force,PAMS,Large: Big 6,369982499,395,Professional Service
Air Force,R&D,Large: Big 6,205012888,212,Professional Service
Army,FRS&C,Medium <1B,2297591708,2683,Other Service
Army,FRS&C,Small,1221671422,6154,Professional Service
Army,MED,Large,1759174,15,Other Service
Army,Products,Unlabeled,102370189,140,Professional Service
Army,R&D,Large: Big 6 JV,238498512,15,Professional Service
DLA,FRS&C,Small,68533538,387,Professional Service
MilitaryHealth,ERS,Medium <1B,8158755,17,Professional Service
MilitaryHealth,MED,Small,279644,2,Other Service
MilitaryHealth,Products,Medium <1B,100274,1,Professional Service
Navy,ERS,Large (Small Subsidiary),1091980,11,Professional Service
