fiscal_year,Customer,Query_Run,ServicesCategory,SumOfnumberOfActions,SumOfobligatedAmount
2007,Other Agencies,02:26.4,ERS,6,47480.72
1998,Other Agencies,02:26.4,Products,18273,1038296855
2008,Other Agencies,02:26.4,Products,799,29046701.6
2007,DHS,02:26.4,FRS&C,3233,314201604.1
2008,Defense,02:26.4,MED,5356,485895849
2013,Other Agencies,02:26.4,PAMS,56,872330.64
1996,Other Agencies,02:26.4,Products,21715,1109288094
2001,Other Agencies,02:26.4,MED,1,1000
2003,Defense,02:26.4,Fuel,225,10140129.96
2010,HHS,02:26.4,R&D,5752,2625172602
2000,State and IAP,02:26.4,R&D,44,49808000
2008,Other Agencies,02:26.4,MED,13090,491256702
2012,Other Agencies,02:26.4,FRS&C,30,10915189.29
1997,Defense,02:26.4,R&D,330,387225520
2012,DHS,02:26.4,ERS,1077,22274449.98
2005,DHS,02:26.4,MED,15,8578130.15
2005,Other Agencies,02:26.4,R&D,20,10112700.8
2005,Other Agencies,02:26.4,ERS,1544,45394880.24
2014,Other Agencies,02:26.4,FRS&C,21,3415565.58
2010,Other Agencies,02:26.4,ERS,3453,68130081.29
1997,Defense,02:26.4,R&D,46,8937255
2000,Other Agencies,02:26.4,FRS&C,5759,618705694
2010,Defense,02:26.4,NULL,13,-1374
1999,Defense,02:26.4,R&D,182,50119964
2002,Other Agencies,02:26.4,NULL,1,0
2014,Other Agencies,02:26.4,R&D,2,138609
2012,Other Agencies,02:26.4,PAMS,466,33857184.37
2014,Defense,02:26.4,FRS&C,2,15121
2004,Other Agencies,02:26.4,PAMS,21569,1422559157
2006,Other Agencies,02:26.4,NULL,1380,5496603.98
2006,Other Agencies,02:26.4,FRS&C,46,3818447.68
2004,State and IAP,02:26.4,R&D,29,13762355
2008,State and IAP,02:26.4,Fuel,7,27884.58
2014,DHS,02:26.4,Products,3495,648684428
1988,Defense,02:26.4,Products,NULL,2931670
2002,Other Agencies,02:26.4,ICT,1686,515691881.1
1990,Defense,02:26.4,ERS,NULL,1646144000
2001,Defense,02:26.4,PAMS,1734,661951610.2
2010,Other Agencies,02:26.4,PAMS,20,12400455.94
2005,Other Agencies,02:26.4,PAMS,404,16218914.19
2007,DHS,02:26.4,MED,38,37727403.28
2011,Other Agencies,02:26.4,Fuel,9,77492.5
2001,Other Agencies,02:26.4,Products,8,718000
2001,State and IAP,02:26.4,PAMS,94,10944541
2004,HHS,02:26.4,ICT,3462,1614449139
2006,Other Agencies,02:26.4,PAMS,5539,434622782.2
2010,DHS,02:26.4,ICT,679,275768419.4
2011,Defense,02:26.4,ERS,68,64650335.95
2000,Other Agencies,02:26.4,ICT,1,38000
2004,NULL,02:26.4,NULL,1,0
2004,Other Agencies,02:26.4,R&D,230,71222447.55
2003,Other Agencies,02:26.4,R&D,NULL,0
2000,Other Agencies,02:26.4,ERS,3,1627
2003,Other Agencies,02:26.4,PAMS,142,22331430
1998,Defense,02:26.4,ERS,189,232426599
2013,Other Agencies,02:26.4,NULL,1,20000
2005,Other Agencies,02:26.4,NULL,1,3587.5
2003,NASA,02:26.4,Products,2019,358969676.2
2003,Other Agencies,02:26.4,ERS,1,36
1988,Defense,02:26.4,ERS,NULL,2935000
2008,State and IAP,02:26.4,NULL,8,113966.42
2012,Other Agencies,02:26.4,FRS&C,10,169193.1
2008,State and IAP,02:26.4,FRS&C,12,6637099.86
1999,Defense,02:26.4,PAMS,3,217437
2001,Other Agencies,02:26.4,R&D,49,5394000
2003,Other Agencies,02:26.4,ERS,1,35280
2010,Other Agencies,02:26.4,FRS&C,16,352867.85
2012,State and IAP,02:26.4,Products,1846,295190930.6
2013,Other Agencies,02:26.4,R&D,20,479319.91
2012,Other Agencies,02:26.4,FRS&C,1,24564
1992,Defense,02:26.4,ERS,NULL,38015757
2012,State and IAP,02:26.4,ERS,188,42168330.12
2006,Other Agencies,02:26.4,FRS&C,10,582222.16
2009,Other Agencies,02:26.4,ERS,9,246702.75
2008,Other Agencies,02:26.4,FRS&C,2509,252236650.3
2008,Other Agencies,02:26.4,MED,4,10000
2011,State and IAP,02:26.4,MED,710,105233790.3
1997,Defense,02:26.4,ERS,4,1438722
2006,Defense,02:26.4,ICT,13454,2231461157
2011,Other Agencies,02:26.4,Products,318,5519586.67
2009,Other Agencies,02:26.4,Products,153,3796219.97
2007,Other Agencies,02:26.4,PAMS,6367,1731262891
2010,Other Agencies,02:26.4,FRS&C,21,133560759
2005,Other Agencies,02:26.4,Products,355,20244242.88
2003,Other Agencies,02:26.4,R&D,6,25707991
2011,Defense,02:26.4,R&D,4544,2197819193
2003,Other Agencies,02:26.4,FRS&C,938,146808776
2007,Other Agencies,02:26.4,ICT,17,523793.42
2001,Other Agencies,02:26.4,ICT,19,1239000
2007,Other Agencies,02:26.4,NULL,3,13472.29
2004,Other Agencies,02:26.4,PAMS,7304,956891422.3
2008,Other Agencies,02:26.4,MED,10,165220.9
2004,Other Agencies,02:26.4,FRS&C,10,852223.47
1995,Defense,02:26.4,FRS&C,11969,4012766198
1998,Defense,02:26.4,FRS&C,24533,8928039720
2014,DHS,02:26.4,ERS,671,5722991.35
2005,Defense,02:26.4,MED,65,10948129
2010,Other Agencies,02:26.4,MED,1,347216
2007,Other Agencies,02:26.4,R&D,2,16600
1997,Other Agencies,02:26.4,ICT,51,8214045
2008,Other Agencies,02:26.4,Products,177,2755383.23
2007,Other Agencies,02:26.4,MED,447,9946878.09
2009,GSA,02:26.4,ERS,3036,209759869.3
2013,Other Agencies,02:26.4,PAMS,697,60476277.67
1989,Defense,02:26.4,R&D,NULL,14983000
2013,HHS,02:26.4,ERS,6379,213367603
2011,Defense,02:26.4,ERS,13,7983.06
2005,Other Agencies,02:26.4,FRS&C,4,180205.32
2009,Other Agencies,02:26.4,Products,405,13912499.15
2007,Other Agencies,02:26.4,ERS,185,4597508.28
2005,Other Agencies,02:26.4,Fuel,34,3999958.58
2003,Other Agencies,02:26.4,PAMS,35,1879974
2005,Defense,02:26.4,NULL,82,563383.2
2008,Other Agencies,02:26.4,ERS,1359016,887640906.4
2007,Other Agencies,02:26.4,ERS,63,742728.95
2003,Other Agencies,02:26.4,NULL,54,4796807.82
2013,Other Agencies,02:26.4,R&D,26,6471986.97
2010,Other Agencies,02:26.4,MED,4,50904
2007,State and IAP,02:26.4,PAMS,154,9554954.76
2014,Other Agencies,02:26.4,PAMS,7754,1124109860
2006,Other Agencies,02:26.4,PAMS,4338,922678960.2
2002,Other Agencies,02:26.4,Products,103,24332349.53
2008,State and IAP,02:26.4,PAMS,123,5737766.79
2013,Other Agencies,02:26.4,MED,179,16188205.32
2002,Other Agencies,02:26.4,ERS,490,41703530.19
2009,Other Agencies,02:26.4,ERS,63,1714830.86
2011,Other Agencies,02:26.4,ICT,38,254539.19
2011,Energy,02:26.4,NULL,5,8221.79
1992,Defense,02:26.4,Fuel,1,4809901
2002,Other Agencies,02:26.4,FRS&C,1003,1042970728
2003,Other Agencies,02:26.4,ICT,22,1605560
2004,Other Agencies,02:26.4,R&D,798,143284655
2007,DHS,02:26.4,MED,24,38757850.66
2007,Other Agencies,02:26.4,MED,19,16089430.76
2013,DHS,02:26.4,MED,72,800923.85
2006,Other Agencies,02:26.4,FRS&C,85,165183663.7
2001,Other Agencies,02:26.4,ICT,77,11826000
2010,DHS,02:26.4,FRS&C,3534,760266738.7
2000,Other Agencies,02:26.4,MED,1509,83211457
2011,Defense,02:26.4,PAMS,17028,5132717111
2006,Other Agencies,02:26.4,Products,111,3216862.03
2011,State and IAP,02:26.4,ERS,2,11279.9
2012,Other Agencies,02:26.4,ERS,17,130933.37
2013,Other Agencies,02:26.4,R&D,612,63251489.29
1990,Defense,02:26.4,R&D,NULL,14908000
2012,Energy,02:26.4,PAMS,5352,1688012524
2010,DHS,02:26.4,ICT,1171,1047933050
2009,Other Agencies,02:26.4,ERS,587,6191309.38
2012,Defense,02:26.4,MED,1003,11713167853
2012,Defense,02:26.4,ERS,105,1105040.43
2009,Other Agencies,02:26.4,FRS&C,5,90785.5
2010,Other Agencies,02:26.4,ICT,5025,1227865608
2009,Other Agencies,02:26.4,ERS,15567,477095498.6
2012,Other Agencies,02:26.4,R&D,20,1491297.88
2014,Other Agencies,02:26.4,ICT,206,47034142.69
2014,Other Agencies,02:26.4,R&D,526,98754717.86
2014,Other Agencies,02:26.4,PAMS,20374,2344921184
2000,Other Agencies,02:26.4,Products,4,233000
2010,Defense,02:26.4,PAMS,15045,4562624804
2003,DHS,02:26.4,Products,2499,694766242.9
2011,DHS,02:26.4,MED,97,21775760.4
2013,Energy,02:26.4,PAMS,4887,1569727251
2006,Other Agencies,02:26.4,Products,2139254,6786087362
2013,HHS,02:26.4,ICT,5633,2782878801
2013,Other Agencies,02:26.4,ERS,58,4029603.6
2002,Other Agencies,02:26.4,ICT,2406,820658592.1
2014,Other Agencies,02:26.4,Products,74721,1464478552
2006,DHS,02:26.4,MED,75,18250330.94
1998,Other Agencies,02:26.4,ICT,16,1839500
2000,Defense,02:26.4,ERS,4301,2510815032
2011,DHS,02:26.4,ERS,129,280555429.6
2014,State and IAP,02:26.4,PAMS,475,45666691.28
2012,Other Agencies,02:26.4,Products,112,3453231.58
2002,Defense,02:26.4,Fuel,1036,5373631309
2007,Other Agencies,02:26.4,Products,220,14534941.85
1995,Defense,02:26.4,Products,8,4256634
2007,Defense,02:26.4,ICT,14561,2748290807
2008,Other Agencies,02:26.4,MED,3,203972
2012,DHS,02:26.4,ICT,337,252589797.7
2014,Other Agencies,02:26.4,ERS,83,4020910.85
2003,State and IAP,02:26.4,ERS,336,32592611.29
2009,Other Agencies,02:26.4,ERS,2522,56763084.4
2013,Other Agencies,02:26.4,Products,70778,1368329538
2002,HHS,02:26.4,PAMS,7765,1816390835
2006,Other Agencies,02:26.4,PAMS,103,2398390.38
2014,HHS,02:26.4,ICT,6257,3491994085
2001,Other Agencies,02:26.4,ICT,21,2217000
2005,Other Agencies,02:26.4,ERS,54,214478.44
2005,Other Agencies,02:26.4,ICT,33,652753.18
1996,Defense,02:26.4,FRS&C,11810,3921173389
2003,Other Agencies,02:26.4,FRS&C,51,9142258.87
2003,Defense,02:26.4,ERS,12092,2042917146
2011,Other Agencies,02:26.4,Products,401,16819246.57
2007,DHS,02:26.4,MED,78,25746418.15
2000,Other Agencies,02:26.4,ERS,4,190000
2003,Other Agencies,02:26.4,PAMS,6678,776181737.1
2008,Other Agencies,02:26.4,R&D,24,385445.73
2005,Defense,02:26.4,PAMS,24852,11042697631
2004,Other Agencies,02:26.4,FRS&C,16,224676
2009,Other Agencies,02:26.4,Products,15095,2527003408
2014,Other Agencies,02:26.4,ERS,22,800348.98
2004,Other Agencies,02:26.4,ICT,748,224164737.9
2005,Other Agencies,02:26.4,NULL,113,87668.5
1993,Defense,02:26.4,FRS&C,NULL,3356868930
2002,Other Agencies,02:26.4,FRS&C,5703,813923721.5
2007,Other Agencies,02:26.4,FRS&C,3392,975761332.9
2007,Other Agencies,02:26.4,ICT,1545,590940716.5
2008,Other Agencies,02:26.4,Products,177,18926472.52
2000,Other Agencies,02:26.4,R&D,5,28700000
2006,Other Agencies,02:26.4,NULL,304,1739177.55
2009,Other Agencies,02:26.4,ICT,37,599753.72
2011,Other Agencies,02:26.4,R&D,1020,144832424.6
2011,State and IAP,02:26.4,PAMS,5627,3830349069
2002,State and IAP,02:26.4,FRS&C,9,506632
2014,Defense,02:26.4,MED,889,11751374582
2007,Other Agencies,02:26.4,PAMS,2050,177651725.1
2008,Other Agencies,02:26.4,ERS,19,121710.64
2002,Other Agencies,02:26.4,ERS,2091,135108990
2003,DHS,02:26.4,PAMS,3,10789.37
2003,Other Agencies,02:26.4,R&D,1,50000
2007,Other Agencies,02:26.4,Products,115,1877091.65
2009,Other Agencies,02:26.4,ERS,6,69543.29
2012,State and IAP,02:26.4,PAMS,133,17175645.99
2002,Defense,02:26.4,Products,56750,16636784808
2008,Other Agencies,02:26.4,Products,4273,92213309.07
2008,Other Agencies,02:26.4,NULL,2130,9261725.72
2010,Defense,02:26.4,R&D,4311,2116924970
2008,Other Agencies,02:26.4,Products,131,4186745.37
2010,Other Agencies,02:26.4,FRS&C,458,113165646.9
2010,Other Agencies,02:26.4,MED,23,-21143.75
2002,Other Agencies,02:26.4,NULL,3,0
2009,Other Agencies,02:26.4,ERS,728,19070328.59
2010,DHS,02:26.4,MED,141,13901204.36
2010,Defense,02:26.4,FRS&C,26991,5904249756
2009,Defense,02:26.4,R&D,17680,9491667665
2006,Other Agencies,02:26.4,Products,1881568,5243273264
2012,GSA,02:26.4,MED,17,9307220.04
2013,Other Agencies,02:26.4,PAMS,18622,2055749228
2008,Defense,02:26.4,PAMS,2236,368599843.4
2009,Other Agencies,02:26.4,PAMS,NULL,81789
2009,Other Agencies,02:26.4,NULL,1149,4996857.13
2005,Other Agencies,02:26.4,R&D,683,103518680.6
2009,Other Agencies,02:26.4,MED,6,179591.28
2007,Other Agencies,02:26.4,PAMS,2273,39487156.87
2002,Defense,02:26.4,ERS,8395,1556243743
2014,Defense,02:26.4,Products,98044,44123628555
1991,Defense,02:26.4,PAMS,1,5042141006
2012,DHS,02:26.4,Products,3897,669272197.8
2014,Other Agencies,02:26.4,MED,9,4597146.16
2001,NASA,02:26.4,ERS,266,253065879
2005,Other Agencies,02:26.4,MED,3,343036
2011,DHS,02:26.4,ICT,368,222503586.5
2007,Other Agencies,02:26.4,ICT,7555,719954712.9
2004,State and IAP,02:26.4,ERS,823,75907615.8
2012,Other Agencies,02:26.4,ICT,1984,445065098.4
2004,Other Agencies,02:26.4,ERS,9,128656.33
2004,Other Agencies,02:26.4,Products,1713,261712810.8
1999,Defense,02:26.4,R&D,9162,4467457724
2008,Energy,02:26.4,PAMS,5199,1995392294
1995,Defense,02:26.4,R&D,301,251001833
1992,Defense,02:26.4,ERS,1,5508591347
2008,NASA,02:26.4,FRS&C,2367,1353797796
2011,Other Agencies,02:26.4,FRS&C,398,120472383.8
2008,State and IAP,02:26.4,ERS,228,329847871.2
2007,Other Agencies,02:26.4,PAMS,1,173275
2011,Other Agencies,02:26.4,FRS&C,27,167284099
2003,Other Agencies,02:26.4,Products,161,41216217.46
2013,Defense,02:26.4,Products,519524,18074782516
2010,Other Agencies,02:26.4,PAMS,32292,2007985741
2007,Other Agencies,02:26.4,ERS,7,49828.33
1996,Other Agencies,02:26.4,ERS,29,1620707
2006,Other Agencies,02:26.4,NULL,3476,21091077.58
2010,Other Agencies,02:26.4,PAMS,2722,30695506.14
2005,Other Agencies,02:26.4,MED,3,58000
2012,Other Agencies,02:26.4,Products,93,11141843.9
2012,Other Agencies,02:26.4,FRS&C,14,1591081.96
1997,Defense,02:26.4,MED,619,209496196
2012,Other Agencies,02:26.4,Products,55,1855487.94
2014,Other Agencies,02:26.4,FRS&C,39,331192.68
2004,GSA,02:26.4,R&D,478,106364188.8
2001,Other Agencies,02:26.4,ICT,1,36000
2001,Other Agencies,02:26.4,ICT,3492,240392646
2003,Defense,02:26.4,Fuel,508,26451304
2006,Defense,02:26.4,NULL,NULL,0
2008,Defense,02:26.4,MED,45,1618599.67
2010,Other Agencies,02:26.4,NULL,6,38284.77
2011,Other Agencies,02:26.4,PAMS,357,13749648.66
2004,Energy,02:26.4,Fuel,9,80524
2010,GSA,02:26.4,Products,709840,2315048566
1992,Defense,02:26.4,ICT,NULL,62541537
2013,Other Agencies,02:26.4,ERS,34,281260
2000,Other Agencies,02:26.4,NULL,103,0
2001,DHS,02:26.4,ERS,24,591000
2001,Other Agencies,02:26.4,Fuel,16,1289000
1994,Defense,02:26.4,Fuel,50,1947141
2010,Other Agencies,02:26.4,ICT,2111,491516318.3
2009,Other Agencies,02:26.4,PAMS,7,486389.02
2010,Energy,02:26.4,PAMS,5965,2024009636
