fiscal_year,Customer,Query_Run,ServicesCategory,SumOfnumberOfActions,SumOfobligatedAmount
2013,Energy,02:26.4,R&D,317,2552414749
2008,Other Agencies,02:26.4,MED,53,1444452.52
2009,Other Agencies,02:26.4,FRS&C,17,508794.84
2011,Other Agencies,02:26.4,PAMS,22,8078280.26
2013,Other Agencies,02:26.4,MED,5,15000
2014,Other Agencies,02:26.4,PAMS,89,2065445.24
2011,Other Agencies,02:26.4,ICT,7,146324.39
2001,HHS,02:26.4,R&D,2033,1076964338
2007,Other Agencies,02:26.4,FRS&C,40,1480175.27
2009,Other Agencies,02:26.4,NULL,1348,9573541.93
2005,Other Agencies,02:26.4,Products,188,2248297.41
2004,Other Agencies,02:26.4,Products,42,319687.04
2009,Other Agencies,02:26.4,FRS&C,6688,1248934333
2009,Defense,02:26.4,FRS&C,27613,6763099787
2008,Defense,02:26.4,R&D,2420,1381448689
1998,Defense,02:26.4,ERS,4428,3020973083
2008,DHS,02:26.4,MED,123,9676423.65
2013,Other Agencies,02:26.4,PAMS,210,1190037.17
2001,Other Agencies,02:26.4,R&D,4,385000
2002,Other Agencies,02:26.4,NULL,5,0
2009,Other Agencies,02:26.4,PAMS,1,78000
2010,State and IAP,02:26.4,FRS&C,8261,2684757878
1992,Defense,02:26.4,ICT,NULL,1574964618
2012,Other Agencies,02:26.4,Fuel,2,3182.35
2004,Other Agencies,02:26.4,PAMS,21,1885746.58
2000,Other Agencies,02:26.4,MED,2,2281000
2003,Defense,02:26.4,ICT,5696,2048508108
2011,Other Agencies,02:26.4,ICT,148,119070346.1
2012,NASA,02:26.4,ICT,2384,941785084.6
1988,Defense,02:26.4,R&D,NULL,459000
2013,GSA,02:26.4,NULL,1,-6330
2013,Other Agencies,02:26.4,ICT,1234,140235870.1
2005,Other Agencies,02:26.4,NULL,8,45689.73
2008,State and IAP,02:26.4,R&D,661,12696580.97
2005,Other Agencies,02:26.4,NULL,5,116150
2005,State and IAP,02:26.4,ICT,2,74376
2009,State and IAP,02:26.4,Products,47,2172288.3
2010,Other Agencies,02:26.4,ERS,24,408774.63
2007,Other Agencies,02:26.4,FRS&C,24,654675.27
2013,Other Agencies,02:26.4,R&D,15,983381.27
2013,Other Agencies,02:26.4,ERS,4,33202.7
2001,Other Agencies,02:26.4,FRS&C,93,14060972
2002,Defense,02:26.4,MED,279,45197393
2007,Other Agencies,02:26.4,PAMS,169,1555127.17
2014,Other Agencies,02:26.4,R&D,89,2849921.82
2004,Defense,02:26.4,Products,8519,2453521901
2004,Other Agencies,02:26.4,MED,1,3000
2005,Other Agencies,02:26.4,PAMS,8009,396419955.8
2010,State and IAP,02:26.4,PAMS,159,12040658.46
2006,Energy,02:26.4,ERS,324,9644811.26
2005,Other Agencies,02:26.4,Products,32844,884295857.2
1996,Defense,02:26.4,Products,24681,19203405182
2001,Other Agencies,02:26.4,MED,1649,25414996
2001,Other Agencies,02:26.4,FRS&C,836,211728196.4
2009,Other Agencies,02:26.4,NULL,3,-384.65
2000,Other Agencies,02:26.4,FRS&C,NULL,0
2004,Other Agencies,02:26.4,FRS&C,203,17773011
2005,Other Agencies,02:26.4,Products,3063927,5570207541
2014,Other Agencies,02:26.4,Products,1962,629608841.6
2004,Other Agencies,02:26.4,Products,243,18731756.13
2000,NASA,02:26.4,R&D,3555,1792897914
2002,Other Agencies,02:26.4,ERS,80,5994199.7
2011,Other Agencies,02:26.4,Products,46,1609214.63
2000,Other Agencies,02:26.4,ERS,259,23162269
2001,Other Agencies,02:26.4,PAMS,9,516000
2003,DHS,02:26.4,ICT,248,67516171
2012,Other Agencies,02:26.4,ERS,17,442326.03
2014,DHS,02:26.4,PAMS,1275,496401666.1
2001,Other Agencies,02:26.4,MED,3,2091000
2006,Defense,02:26.4,PAMS,306,198976690.8
2010,Other Agencies,02:26.4,Fuel,364,8599458.28
2005,Other Agencies,02:26.4,PAMS,3720,558840560.4
2010,Other Agencies,02:26.4,ERS,688,15584544.06
2001,Energy,02:26.4,FRS&C,1390,20257670876
2006,State and IAP,02:26.4,MED,3,374692
2004,Other Agencies,02:26.4,Products,12,7006.93
2007,Other Agencies,02:26.4,R&D,404,763578.52
2001,Other Agencies,02:26.4,MED,59,2720688
2010,NASA,02:26.4,Products,7814,1193927639
2013,Other Agencies,02:26.4,R&D,561,18212430.68
2000,Other Agencies,02:26.4,Products,3265,1769485624
2001,Other Agencies,02:26.4,FRS&C,655,104100540.5
2010,Other Agencies,02:26.4,PAMS,217,11528761.46
2006,State and IAP,02:26.4,ERS,13,40499.3
2013,Other Agencies,02:26.4,PAMS,3132,885915001.9
2014,Other Agencies,02:26.4,Products,20776,2974692290
2004,Other Agencies,02:26.4,R&D,3,100545
2011,GSA,02:26.4,NULL,20,71099.67
1988,Defense,02:26.4,PAMS,NULL,283000
2013,Other Agencies,02:26.4,PAMS,83,4660924.44
2009,Other Agencies,02:26.4,ERS,896,6311075.24
2012,Other Agencies,02:26.4,ICT,546,12347913.15
2003,Other Agencies,02:26.4,R&D,28,19317984.84
2008,State and IAP,02:26.4,Products,41,945223.61
2011,State and IAP,02:26.4,FRS&C,311,50847257.92
2000,Other Agencies,02:26.4,MED,139,6577000
2012,Other Agencies,02:26.4,ICT,339,241024775
1989,Defense,02:26.4,NULL,NULL,NULL
2004,State and IAP,02:26.4,Products,55,1900469.94
2000,Other Agencies,02:26.4,NULL,171,42239574
2009,DHS,02:26.4,PAMS,3551,1274726127
2003,Defense,02:26.4,PAMS,30661,6848745583
2005,Defense,02:26.4,ICT,9478,2718892593
2009,DHS,02:26.4,NULL,6524,25917534.68
2014,NASA,02:26.4,ICT,1980,813284598.5
2001,Other Agencies,02:26.4,NULL,107,1262170.25
2005,Other Agencies,02:26.4,PAMS,101,4498517.8
2014,Other Agencies,02:26.4,ERS,25,3934564.96
2003,Defense,02:26.4,NULL,13,1008658.1
2007,Other Agencies,02:26.4,ICT,345,51341865.35
2008,Other Agencies,02:26.4,MED,2,101744
1996,Defense,02:26.4,FRS&C,23884,8380347524
2002,Defense,02:26.4,Products,6449,1422035956
2011,DHS,02:26.4,FRS&C,3393,788069020.2
2003,Other Agencies,02:26.4,Products,7220,573168283.1
2013,Other Agencies,02:26.4,ICT,1869,176049767.1
2013,Other Agencies,02:26.4,ERS,12,122294.94
2000,Other Agencies,02:26.4,FRS&C,26,4123000
1991,Defense,02:26.4,PAMS,NULL,29494000
2007,Other Agencies,02:26.4,ERS,1,15004.64
2009,Other Agencies,02:26.4,Products,1919,78130584.74
2010,Other Agencies,02:26.4,FRS&C,41,1841042.45
1994,Defense,02:26.4,PAMS,957,417153468
2014,DHS,02:26.4,ERS,414,31969598.29
2008,Other Agencies,02:26.4,ICT,403,41871546.19
2012,HHS,02:26.4,NULL,137,-2265564.99
2013,Defense,02:26.4,FRS&C,10781,934840996.7
2003,Defense,02:26.4,NULL,102,67555055.16
2003,Other Agencies,02:26.4,NULL,70,5219002.47
2003,Other Agencies,02:26.4,MED,116,12685699.6
2013,Other Agencies,02:26.4,Products,11,89000.27
1995,Defense,02:26.4,PAMS,753,196521093
2000,Other Agencies,02:26.4,Products,41,2894000
2005,DHS,02:26.4,PAMS,1509,198033290.3
2006,DHS,02:26.4,ICT,254,143790406.4
2003,Other Agencies,02:26.4,R&D,19,11583148.81
2010,Other Agencies,02:26.4,ERS,1,11610.8
2000,Other Agencies,02:26.4,FRS&C,42,1959000
2009,Other Agencies,02:26.4,Products,37,438082
2012,Other Agencies,02:26.4,ICT,1,414056.34
2013,Other Agencies,02:26.4,Fuel,36,757749.11
2009,Defense,02:26.4,PAMS,2250,386623608.2
2012,Defense,02:26.4,FRS&C,1374,222593722.7
2006,Other Agencies,02:26.4,NULL,3,648.08
2006,Other Agencies,02:26.4,PAMS,135,4128085.78
2013,Energy,02:26.4,ICT,681,103016859.8
2008,Defense,02:26.4,ICT,32704,3505293656
2000,Defense,02:26.4,NULL,2,10000
2011,Other Agencies,02:26.4,ERS,35,231214.08
2008,Other Agencies,02:26.4,Fuel,1505,18169186.06
2012,DHS,02:26.4,NULL,1,3528
2001,Other Agencies,02:26.4,ICT,5,458000
2010,Other Agencies,02:26.4,MED,6,37920
2002,Defense,02:26.4,PAMS,17,4063051
2014,Other Agencies,02:26.4,Fuel,35,798618.66
2007,Other Agencies,02:26.4,ERS,7,19892
2001,Other Agencies,02:26.4,PAMS,8925,570516316.2
2012,DHS,02:26.4,FRS&C,1599,91285788.32
2007,State and IAP,02:26.4,MED,45,30054855.47
2004,Other Agencies,02:26.4,Products,29474,841703451.5
2007,State and IAP,02:26.4,Products,56,1194543.71
2014,Other Agencies,02:26.4,MED,28,1109795.27
2009,Defense,02:26.4,PAMS,892,498745687.6
2003,NASA,02:26.4,R&D,4037,2061221377
2012,Other Agencies,02:26.4,NULL,25,37447.35
2009,Other Agencies,02:26.4,Fuel,1358,20745114.61
1996,Defense,02:26.4,MED,310,1386279949
2001,Defense,02:26.4,MED,197,30199957
2007,Other Agencies,02:26.4,Products,29281,711208732
2011,GSA,02:26.4,MED,20,6122571.19
2013,Other Agencies,02:26.4,Products,14,259042.95
2011,Other Agencies,02:26.4,MED,81,2146248.25
2002,Energy,02:26.4,FRS&C,1438,20964590616
2013,Other Agencies,02:26.4,R&D,306,32797366.82
2012,Other Agencies,02:26.4,Products,285,14468113.81
2014,Other Agencies,02:26.4,FRS&C,91,6500269.16
2009,Other Agencies,02:26.4,MED,1,198000
2001,State and IAP,02:26.4,NULL,1,0
2002,NASA,02:26.4,FRS&C,1177,892388727.8
2004,State and IAP,02:26.4,NULL,990,4019493.32
1997,Defense,02:26.4,Fuel,92,7937554
1989,Defense,02:26.4,PAMS,NULL,86355000
2005,State and IAP,02:26.4,R&D,41,1774706.17
2004,DHS,02:26.4,PAMS,546,107284788.1
2013,Other Agencies,02:26.4,Products,54,2934812.19
2010,Other Agencies,02:26.4,ERS,1043,5823506.14
2012,Other Agencies,02:26.4,ERS,66,1578680.18
2006,Other Agencies,02:26.4,FRS&C,7,3605162.88
2012,Other Agencies,02:26.4,ICT,53,3006548.08
2000,Other Agencies,02:26.4,ERS,8,945000
2001,Other Agencies,02:26.4,ICT,11,2866000
2012,DHS,02:26.4,FRS&C,2959,806256463.9
2000,State and IAP,02:26.4,ERS,198,33837036.78
2014,Other Agencies,02:26.4,ERS,10,135035.6
2009,State and IAP,02:26.4,ERS,NULL,6000
2013,Other Agencies,02:26.4,ERS,21,220780.19
2001,DHS,02:26.4,Fuel,3,230000
2003,Other Agencies,02:26.4,PAMS,5,119822
2000,Defense,02:26.4,Fuel,85,5004049
2011,Defense,02:26.4,ICT,52962,5211649995
2014,Other Agencies,02:26.4,PAMS,768,60774195.77
2005,State and IAP,02:26.4,ERS,5,17881.07
2013,Other Agencies,02:26.4,NULL,1,-1937.56
2014,Other Agencies,02:26.4,Fuel,65,3705424.137
2006,Defense,02:26.4,FRS&C,3,21334
2011,Other Agencies,02:26.4,ICT,46,3490883.14
2008,Defense,02:26.4,FRS&C,97,50084049.21
2013,NASA,02:26.4,ICT,2013,859575781.5
2014,Other Agencies,02:26.4,MED,12,188434.69
2002,Defense,02:26.4,PAMS,33696,6683063379
2004,Other Agencies,02:26.4,ERS,35,98559.48
2002,Other Agencies,02:26.4,PAMS,183,1783000
1990,Defense,02:26.4,MED,NULL,638614000
1994,Defense,02:26.4,FRS&C,785,293844684
2008,Other Agencies,02:26.4,R&D,16,26039.65
2003,Other Agencies,02:26.4,ERS,3,238031
2013,Other Agencies,02:26.4,ERS,37,465109.15
2013,Other Agencies,02:26.4,MED,2,32004
2014,Other Agencies,02:26.4,R&D,596,24756843.04
2006,Other Agencies,02:26.4,Products,6,194665.94
2010,Other Agencies,02:26.4,Products,8,48882.27
2011,Other Agencies,02:26.4,PAMS,208,8129675.19
2008,Other Agencies,02:26.4,Fuel,35,244256.31
2000,Defense,02:26.4,NULL,7,25841
2010,Other Agencies,02:26.4,NULL,32,334438.41
2004,Other Agencies,02:26.4,R&D,109,20296083.88
1990,Defense,02:26.4,ICT,NULL,648614000
2004,Other Agencies,02:26.4,FRS&C,49,11378410.66
2010,Other Agencies,02:26.4,MED,59,317424.38
2012,DHS,02:26.4,R&D,542,60193607.27
1997,Defense,02:26.4,FRS&C,262,165253195
2005,State and IAP,02:26.4,ICT,2887,436835145.2
2014,Other Agencies,02:26.4,FRS&C,7,43949
2013,Other Agencies,02:26.4,ICT,73,3376564.19
1992,Defense,02:26.4,R&D,NULL,11065221
2006,Other Agencies,02:26.4,ICT,72,6270144.11
2000,Other Agencies,02:26.4,Products,6124,2696177466
2001,Other Agencies,02:26.4,ERS,5,548000
2009,Defense,02:26.4,Fuel,524,17078324.17
2005,State and IAP,02:26.4,Products,601,11383646.57
2009,Defense,02:26.4,PAMS,82302,31148607769
2001,Other Agencies,02:26.4,PAMS,1629,556010983
2001,Other Agencies,02:26.4,Products,94,10051000
2005,Other Agencies,02:26.4,ERS,4322,75894427.07
2009,State and IAP,02:26.4,R&D,1237,64719122.04
2014,Energy,02:26.4,ICT,679,116365766.6
1992,Defense,02:26.4,R&D,NULL,1801668918
2004,Other Agencies,02:26.4,FRS&C,27,4503255.1
2009,Other Agencies,02:26.4,NULL,1204,7381072.88
2014,Defense,02:26.4,FRS&C,61049,15548684931
2004,Other Agencies,02:26.4,FRS&C,1533,181388598
2009,DHS,02:26.4,Fuel,7,3235080
2012,State and IAP,02:26.4,R&D,6,201099
2014,Defense,02:26.4,ICT,30117,3927907199
2000,Other Agencies,02:26.4,PAMS,17,2991000
2009,Other Agencies,02:26.4,ICT,83,7376051.54
2014,Defense,02:26.4,Fuel,218,7615088.411
2007,Other Agencies,02:26.4,ERS,10,49600.35
2012,Other Agencies,02:26.4,Fuel,398,5270668.31
2006,Other Agencies,02:26.4,PAMS,19,589913.16
2010,Other Agencies,02:26.4,FRS&C,14,1669583.82
2007,Other Agencies,02:26.4,Products,35,424039.44
2009,Other Agencies,02:26.4,NULL,231,-334022.04
2010,GSA,02:26.4,NULL,33,644290.78
2009,Other Agencies,02:26.4,ERS,4,21713
2007,Other Agencies,02:26.4,ERS,56,2850070.94
2012,State and IAP,02:26.4,PAMS,5738,4014931483
2010,DHS,02:26.4,ERS,111,249994799.1
2003,Defense,02:26.4,ERS,305,63112274
2007,Defense,02:26.4,NULL,3,0
2013,Other Agencies,02:26.4,R&D,1,7847
2000,Other Agencies,02:26.4,PAMS,52,1368000
2009,DHS,02:26.4,Products,1640,480058566.2
2011,State and IAP,02:26.4,PAMS,127,9478346.75
1996,Defense,02:26.4,FRS&C,892,120491345
2005,Defense,02:26.4,PAMS,172,132368751
2008,Other Agencies,02:26.4,PAMS,57,914749
2010,Other Agencies,02:26.4,Products,171,42513458.04
2006,Other Agencies,02:26.4,ICT,904,354281282.8
2007,Other Agencies,02:26.4,FRS&C,5,195575.8
2009,DHS,02:26.4,R&D,1512,52537588.04
2012,Defense,02:26.4,Products,74714,29395388923
2011,DHS,02:26.4,Fuel,191,3086617.78
2013,Other Agencies,02:26.4,ICT,62,4075729.39
2014,Other Agencies,02:26.4,R&D,1,5611
2006,State and IAP,02:26.4,PAMS,10869,2138709783
2007,Energy,02:26.4,Products,2851,527189809.1
2003,DHS,02:26.4,FRS&C,30,8932692.03
1995,Defense,02:26.4,FRS&C,1180,155693834
2013,Other Agencies,02:26.4,ICT,23,415558.47
2007,Other Agencies,02:26.4,ICT,833,337089340.7
2011,NASA,02:26.4,ERS,895,896239484
1999,Defense,02:26.4,Fuel,264,71238797
2011,State and IAP,02:26.4,ICT,416,72291211.09
2005,NASA,02:26.4,FRS&C,1711,1048961098
2010,Other Agencies,02:26.4,PAMS,1635,38447361.71
2005,Other Agencies,02:26.4,FRS&C,15,240076.18
2001,Other Agencies,02:26.4,FRS&C,58,6161583
2001,Other Agencies,02:26.4,NULL,2,0
2008,Other Agencies,02:26.4,Products,1918,63711592.11
2001,Other Agencies,02:26.4,FRS&C,1687,203577891.7
2004,Other Agencies,02:26.4,ERS,4,130111.84
2004,Defense,02:26.4,ICT,6090,2461121308
2006,Other Agencies,02:26.4,Products,159,49471114.81
2005,Other Agencies,02:26.4,NULL,1886,6197033.57
2008,Defense,02:26.4,ICT,14876,3465842799
2012,Other Agencies,02:26.4,ICT,87,2859778.9
2013,Other Agencies,02:26.4,ICT,121,12167106.52
2012,Other Agencies,02:26.4,R&D,45,-11243813.46
2003,Other Agencies,02:26.4,Fuel,52,4706263
2007,Defense,02:26.4,MED,10675,914169866.9
2013,Other Agencies,02:26.4,MED,2,13730
2002,Other Agencies,02:26.4,Products,58,6731000
2013,Defense,02:26.4,ERS,2973,123658642.7
2012,Other Agencies,02:26.4,ERS,162,4336251.06
2003,Other Agencies,02:26.4,PAMS,24,5128682
2013,DHS,02:26.4,Fuel,13,-12424.09
2000,Other Agencies,02:26.4,Products,46,6335000
2014,Other Agencies,02:26.4,Products,387,17784311.84
2002,Other Agencies,02:26.4,Fuel,6,464000
2005,Other Agencies,02:26.4,ICT,4067,1115714084
2007,State and IAP,02:26.4,ERS,2228,337202678.9
2006,Other Agencies,02:26.4,FRS&C,28,2099911.67
2001,DHS,02:26.4,Products,10,1433516.8
2006,Other Agencies,02:26.4,R&D,2,54799
2010,Other Agencies,02:26.4,NULL,63,209884.32
2004,HHS,02:26.4,Products,11304,941952683
2007,Defense,02:26.4,MED,42,1058454.85
2004,Other Agencies,02:26.4,ERS,1,5805
2009,Other Agencies,02:26.4,ICT,1706,150789975.5
2000,Other Agencies,02:26.4,Products,197,103731000
2005,Other Agencies,02:26.4,ICT,32,2890038.7
2008,DHS,02:26.4,ERS,1271,83812878.33
2012,Defense,02:26.4,PAMS,1465,295171381
2009,Defense,02:26.4,Products,94359,25439768823
2000,Other Agencies,02:26.4,PAMS,4832,316965051.6
2003,State and IAP,02:26.4,MED,3,1500000
2006,Other Agencies,02:26.4,R&D,48,11298894.65
2005,Other Agencies,02:26.4,MED,1,3286.25
2007,Other Agencies,02:26.4,FRS&C,67,20180630.71
2007,GSA,02:26.4,NULL,206,3913626.81
1991,Defense,02:26.4,PAMS,NULL,4190173000
2014,GSA,02:26.4,ERS,2668,214940052.4
2003,Other Agencies,02:26.4,NULL,15,1831033
2014,Other Agencies,02:26.4,ERS,4,66314.61
2011,Other Agencies,02:26.4,ICT,384,20563562.65
2014,DHS,02:26.4,R&D,702,183882774.3
2013,Defense,02:26.4,ERS,23892,4767850384
2001,Other Agencies,02:26.4,FRS&C,727,129393858
2012,Defense,02:26.4,PAMS,558,59889416.38
2012,Other Agencies,02:26.4,PAMS,3866,924904059.5
2002,Other Agencies,02:26.4,ICT,2,157000
2004,Other Agencies,02:26.4,PAMS,974,33686570.28
2006,Other Agencies,02:26.4,MED,12,668536.85
2006,Other Agencies,02:26.4,NULL,16,128472.23
2005,DHS,02:26.4,ICT,266,93412270.85
2008,Other Agencies,02:26.4,PAMS,468,24243422.65
2004,DHS,02:26.4,NULL,31,141129.1
2006,Energy,02:26.4,ICT,864,226613514
2001,Other Agencies,02:26.4,R&D,4,424000
2014,DHS,02:26.4,ICT,1072,313404946.1
2011,Other Agencies,02:26.4,ERS,906,10586911.58
1991,Defense,02:26.4,PAMS,NULL,868873000
2003,Other Agencies,02:26.4,FRS&C,2,184464
2004,Other Agencies,02:26.4,MED,3,234709
2010,Other Agencies,02:26.4,Products,1934510,5822876669
2010,State and IAP,02:26.4,ERS,4,29834
2012,Other Agencies,02:26.4,MED,3,521501
2005,Other Agencies,02:26.4,R&D,1,50000
2014,Other Agencies,02:26.4,ERS,25,531557.63
1995,Defense,02:26.4,FRS&C,10729,4606987419
2005,Defense,02:26.4,Products,26,2163487
2003,State and IAP,02:26.4,MED,3,400000
2010,Other Agencies,02:26.4,Products,139,6942705.33
2000,GSA,02:26.4,NULL,509,11395675.72
2005,Other Agencies,02:26.4,MED,95,2873153.35
2012,Other Agencies,02:26.4,ERS,5614,105601019
2005,Other Agencies,02:26.4,FRS&C,26,9649161.65
2000,Other Agencies,02:26.4,R&D,15,1561000
2005,Other Agencies,02:26.4,ICT,11,480422.39
2007,GSA,02:26.4,ERS,2889,161898243.1
1992,Defense,02:26.4,PAMS,5,4880228723
2004,Other Agencies,02:26.4,FRS&C,2502,164894089.1
2010,Other Agencies,02:26.4,R&D,7,178208.36
2010,Other Agencies,02:26.4,NULL,11,45446.5
2002,Other Agencies,02:26.4,PAMS,10,432000
2007,Other Agencies,02:26.4,Products,214,4496516.62
2008,State and IAP,02:26.4,Products,227,11077402.78
2010,Defense,02:26.4,R&D,2002,4075794260
2003,Other Agencies,02:26.4,Fuel,8,247256
2013,DHS,02:26.4,ERS,1259,27130157.22
2013,Other Agencies,02:26.4,MED,1422,42138545.24
2003,Other Agencies,02:26.4,Products,142,17602680.41
2002,Other Agencies,02:26.4,ICT,3,403000
2009,Other Agencies,02:26.4,Products,155,4799119.48
2007,DHS,02:26.4,NULL,729,4242560.41
2011,Other Agencies,02:26.4,R&D,12,1359812.56
2013,DHS,02:26.4,NULL,9,30748
2002,State and IAP,02:26.4,NULL,6,0
2011,Other Agencies,02:26.4,ICT,446,11993072.97
2013,Other Agencies,02:26.4,ICT,520,285661284.3
2009,State and IAP,02:26.4,R&D,273,568378418.2
2010,Energy,02:26.4,ICT,965,318111852
2009,Other Agencies,02:26.4,FRS&C,33,1882955.82
2014,Other Agencies,02:26.4,PAMS,17,119152.15
2001,Other Agencies,02:26.4,R&D,4,100000
2003,GSA,02:26.4,FRS&C,82158,6993381791
2006,Defense,02:26.4,NULL,237,101406156.7
2013,State and IAP,02:26.4,MED,1,114500
2009,DHS,02:26.4,FRS&C,3553,1160589408
2008,Energy,02:26.4,ERS,423,35393208.26
2001,Defense,02:26.4,PAMS,4,1163245
2012,Other Agencies,02:26.4,R&D,17,1775730.72
1998,Defense,02:26.4,Products,20689,13432861955
1988,Defense,02:26.4,FRS&C,NULL,661000
2002,NASA,02:26.4,PAMS,2338,1364350578
2009,Other Agencies,02:26.4,ERS,26,558827.54
2011,Other Agencies,02:26.4,NULL,6,9277.38
2013,Other Agencies,02:26.4,PAMS,230,14841618.11
2009,Defense,02:26.4,R&D,111,47647269
2000,Other Agencies,02:26.4,FRS&C,1969,289218988
2012,Other Agencies,02:26.4,R&D,324,46214417.96
2006,Other Agencies,02:26.4,FRS&C,4,33539.5
2014,Other Agencies,02:26.4,ICT,107,8685100.51
2007,Other Agencies,02:26.4,Products,102,2392618.65
2007,Other Agencies,02:26.4,Fuel,34,121502.49
2012,Other Agencies,02:26.4,R&D,132,52794939.56
2014,Other Agencies,02:26.4,MED,197,16156482.75
2007,Other Agencies,02:26.4,R&D,3,29732.72
2008,Other Agencies,02:26.4,ERS,11,39342.05
2011,DHS,02:26.4,NULL,25,-94064.07
2012,Energy,02:26.4,R&D,391,2672889396
2007,Defense,02:26.4,ICT,1481,321474165.4
2011,DHS,02:26.4,ICT,966,238800239.5
2006,GSA,02:26.4,Products,628538,3104983552
2008,Other Agencies,02:26.4,Products,13661,2377049039
2001,Other Agencies,02:26.4,PAMS,953,352233348.6
2002,Defense,02:26.4,ERS,342,53581389
2009,Other Agencies,02:26.4,MED,652,85371612.06
2005,HHS,02:26.4,FRS&C,2921,659813928.8
2006,DHS,02:26.4,ERS,4361,258690004.3
2001,Other Agencies,02:26.4,FRS&C,97,27120337.86
2002,Other Agencies,02:26.4,PAMS,1925,569067551.7
2008,Other Agencies,02:26.4,NULL,38,407794.52
2011,Other Agencies,02:26.4,Products,266,10075792.51
2003,Other Agencies,02:26.4,NULL,6,0
2014,DHS,02:26.4,R&D,13,722710.07
2008,Other Agencies,02:26.4,FRS&C,15,1732803.52
2009,Other Agencies,02:26.4,MED,2,1946206.51
2003,Defense,02:26.4,R&D,7711,9058668619
2006,Defense,02:26.4,R&D,110,18155428.2
2007,Defense,02:26.4,ICT,33476,3838225302
2012,Other Agencies,02:26.4,R&D,83,3107228.67
2013,Other Agencies,02:26.4,PAMS,54,1057169
2004,Other Agencies,02:26.4,FRS&C,4124,1076984350
1996,Defense,02:26.4,Products,22914,14302029615
2001,Other Agencies,02:26.4,Products,28,3530000
2003,Other Agencies,02:26.4,MED,1901,28271041.3
2012,State and IAP,02:26.4,R&D,186,243352918.9
2001,Other Agencies,02:26.4,Products,3,89000
1997,Defense,02:26.4,ERS,7113,4057867599
2002,Other Agencies,02:26.4,PAMS,85,13231033.48
2005,Defense,02:26.4,R&D,130,20638939
2013,DHS,02:26.4,R&D,19,4645778
2007,Defense,02:26.4,FRS&C,6,17279.1
2014,Other Agencies,02:26.4,ERS,1,2907.12
2007,Other Agencies,02:26.4,NULL,223,2063866.64
2008,Other Agencies,02:26.4,R&D,8,56256.46
2011,Other Agencies,02:26.4,R&D,140,3994739.75
2006,Other Agencies,02:26.4,PAMS,11389,587262225.5
2002,Other Agencies,02:26.4,FRS&C,144,59685137.04
2009,Other Agencies,02:26.4,FRS&C,16388,817531986.1
2013,Defense,02:26.4,FRS&C,77828,19620229431
1995,Defense,02:26.4,Products,24250,16438892994
2002,Other Agencies,02:26.4,MED,1461,19965270
2001,Other Agencies,02:26.4,FRS&C,67,11833000
2010,Other Agencies,02:26.4,FRS&C,19348,1482536653
2013,DHS,02:26.4,MED,77,28652359.88
2009,State and IAP,02:26.4,PAMS,15412,2591141869
2008,State and IAP,02:26.4,MED,4,970028
2010,State and IAP,02:26.4,ICT,44,6012371.8
2012,Other Agencies,02:26.4,NULL,67,-88186.19
2011,Energy,02:26.4,ICT,848,261035142.4
2011,Other Agencies,02:26.4,ICT,2735,473067499.9
1997,Defense,02:26.4,Products,20399,15307556585
1998,Defense,02:26.4,Fuel,290,81166725
1990,Defense,02:26.4,FRS&C,NULL,2810773778
2000,NASA,02:26.4,PAMS,1968,1424977769
2011,NASA,02:26.4,Products,7780,1164320048
2013,GSA,02:26.4,MED,19,6353271.85
2009,DHS,02:26.4,ICT,661,177317575.2
2010,DHS,02:26.4,ICT,714,205008078.1
2009,Defense,02:26.4,FRS&C,76,34203056.48
2001,Other Agencies,02:26.4,FRS&C,5404,582322532.4
2002,Other Agencies,02:26.4,PAMS,4,1592087
2003,Other Agencies,02:26.4,FRS&C,5006,1005251900
2013,HHS,02:26.4,NULL,208,-5631470.18
2006,Other Agencies,02:26.4,Products,34,314300.3
2010,Other Agencies,02:26.4,ERS,10,67453
1996,Other Agencies,02:26.4,PAMS,12,960377
2010,Other Agencies,02:26.4,Products,230,6711088.7
2014,Defense,02:26.4,FRS&C,12334,859226676.7
2002,Other Agencies,02:26.4,NULL,86,1484413.79
2003,Defense,02:26.4,R&D,10151,10054158802
2014,Defense,02:26.4,ERS,8,288920.9685
2008,Defense,02:26.4,ICT,27,-173054.69
2009,NASA,02:26.4,Products,8254,1410573283
2014,Other Agencies,02:26.4,NULL,1,-8518
2008,Other Agencies,02:26.4,R&D,52,7424148.22
2014,Other Agencies,02:26.4,PAMS,2016,825819660
2014,Other Agencies,02:26.4,ICT,1132,150210268.8
2000,NASA,02:26.4,NULL,42,768855.26
2011,Energy,02:26.4,R&D,412,2482730564
2014,Other Agencies,02:26.4,ICT,517,207638681.2
2002,DHS,02:26.4,FRS&C,94,16367730.75
2008,State and IAP,02:26.4,ICT,2678,573727420.4
2013,Other Agencies,02:26.4,R&D,32,1712108
2010,Other Agencies,02:26.4,ERS,1849,49201918.43
2008,Other Agencies,02:26.4,FRS&C,3,64889
2010,Other Agencies,02:26.4,MED,12,14830530.86
2013,Other Agencies,02:26.4,MED,1,2998.8
2008,Defense,02:26.4,ICT,1855,417414375.7
2001,Other Agencies,02:26.4,ERS,107,9755000
2005,Defense,02:26.4,ICT,30,22202402
2008,Other Agencies,02:26.4,PAMS,4,48387.68
2013,Other Agencies,02:26.4,R&D,770,47303117.11
