fiscal_year,Query_Run,SubCustomer,ServicesCategory,SumOfobligatedAmount,SumOfnumberOfActions
1999,04:31.0,Air Force,ERS,2264227003,3688
2002,04:31.0,Air Force,R&D,8477528923,6976
2007,04:31.0,Army,Fuel,35073300.17,1667
2011,04:31.0,MDA,R&D,3412248650,2361
2007,04:31.0,Other DoD,R&D,1287392174,2600
1995,04:31.0,Other DoD,FRS&C,90875861,196
1993,04:31.0,Air Force,MED,19723048,NULL
2005,04:31.0,MilitaryHealth,ICT,299883,12
2001,04:31.0,Other DoD,MED,1817390,8
1990,04:31.0,Other DoD,PAMS,561932000,NULL
2007,04:31.0,Navy,PAMS,9857937621,50780
2014,04:31.0,DLA,R&D,19598317.41,104
1992,04:31.0,Navy,FRS&C,3077252643,1
1989,04:31.0,Other DoD,ICT,14519000,NULL
2006,04:31.0,Air Force,FRS&C,6128401082,19021
2013,04:31.0,Other DoD,Products,2234437924,26282
1999,04:31.0,Army,PAMS,5056812259,17444
2000,04:31.0,Other DoD,ERS,229583442,606
1998,04:31.0,Air Force,ICT,1017627061,3203
2008,04:31.0,MDA,FRS&C,50084049.21,97
1997,04:31.0,Air Force,FRS&C,3624202347,10330
2002,04:31.0,Army,NULL,7230472.62,90
1992,04:31.0,Army,Products,12617666233,NULL
1994,04:31.0,Navy,FRS&C,5661157773,12040
1993,04:31.0,Air Force,Fuel,52125868,NULL
1999,04:31.0,MilitaryHealth,PAMS,6554553,33
2012,04:31.0,Army,MED,1215726424,8867
2001,04:31.0,MilitaryHealth,PAMS,1163245,4
2007,04:31.0,DLA,Fuel,12443346957,3734
1994,04:31.0,Navy,ERS,4124609199,9470
2006,04:31.0,MDA,ERS,457963,8
1999,04:31.0,DLA,Products,4389481381,37731
1993,04:31.0,DLA,FRS&C,215146673,NULL
2004,04:31.0,MilitaryHealth,ERS,8400,1
2010,04:31.0,MDA,FRS&C,28608648.43,72
NULL,04:31.0,NULL,NULL,NULL,NULL
2006,04:31.0,Navy,ICT,4375740229,30568
2000,04:31.0,Air Force,ICT,1806029295,3739
1999,04:31.0,Other DoD,MED,362012,4
1998,04:31.0,Air Force,MED,22058185,147
